項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI
20,特願2017-522653,特表2017-534117,"2015/10/22
2016/05/12
-",最適化された解剖学的関心構造ラベリング,コーニンクレッカ フィリップス エヌ ヴェ,"G06Q50/24 
A61B5/00@D 
G16H10/00"
21,特願2015-161175,特開2016-041247,"2015/08/18
2016/03/31
2016/12/16",医療用画像のコンピュータ支援による解析装置、および、医療用画像解析のためのコンピュータプログラム,シーメンス アクチエンゲゼルシヤフト,"A61B6/03,360@D 
A61B6/03,360@J 
A61B6/03,360@G"
22,特願2015-209558,特開2016-028747,"2015/10/26
2016/03/03
2018/01/12",血管形状及び生理学から血流特性を推定するシステム及び作動方法,ハートフロー， インコーポレイテッド,"A61B5/02,800@Z 
A61B5/026,140"
23,特願2017-518040,特表2017-529635,"2015/06/13
2015/12/17
-",仮想および拡張現実を作成する方法およびシステム,マジック リープ， インコーポレイテッド,"G06T19/00,300@B"
24,特願2017-504293,特表2017-515622,"2015/04/02
2015/10/15
-",医療装置の存在下での画像解析,エスワイエヌシー‐アールエックス、リミテッド,"A61B6/00,331@E 
A61B6/12 
G06T1/00,290@A 
他"
25,特願2017-501100,特表2017-512614,"2015/03/18
2015/09/24
-",健康に関する専門知識及びリソースの割当ての管理,ピーチ インテリヘルス，インコーポレイティド,"A61B5/00,102@C 
G06Q50/24 
G06Q50/22 
他"
26,特願2016-539043,特表2017-503548,"2014/11/28
2015/06/25
-",自動超音波ビームステアリング及びニードルアーチファクト抑制,コーニンクレッカ フィリップス エヌ ヴェ,A61B8/14
27,特願2014-185569,特開2015-103243,"2014/09/11
2015/06/04
-",医用情報処理装置、医用情報処理方法、画像診断システム、コンピュータ可読記憶媒体および情報処理装置,株式会社東芝 他,"A61B5/00@D 
G06Q50/24,120 
G06Q50/24 
他"
28,特願2016-521325,特表2016-533782,"2014/10/13
2015/04/16
-",映像医療機器により取得した画像を特徴づける方法およびシステム,マウナ ケア テクノロジーズ,"A61B1/04,370 
G06T1/00,290 
G06T7/20@C 
他"
29,特願2016-532702,特表2016-527043,"2014/08/11
2015/02/12
-",医療イメージング及び情報表示のための方法とシステム,コーニンクレッカ フィリップス エヌ ヴェ,A61B8/14
30,特願2016-516099,特表2016-532459,"2014/07/17
2015/02/05
2017/03/24",ヘルスケア意思決定支援システム、患者ケアシステム及びヘルスケア意思決定方法,コーニンクレッカ フィリップス エヌ ヴェ,"A61G12/00@Z 
A61B5/00@A 
G06Q50/24 
他"
31,特願2016-521905,特表2016-525239,"2014/06/24
2014/12/31
-",機械学習を使用した生成的マルチモデルマルチクラス分類および類似度分析のための自動システム,サイランス・インコーポレイテッド,"G06F19/00,130"
32,特願2016-521860,特表2016-523146,"2014/06/20
2014/12/24
-",多目的放射線療法選択システムおよび方法,シリス メディカル インコーポレイテッド,A61N5/10@P
33,特願2016-503744,特表2016-514508,"2014/03/12
2014/09/25
-",放射線撮像における予測動きゲーティングのための神経生理学的監視,コーニンクレッカ フィリップス エヌ ヴェ,"A61B6/03,330@Z 
A61B5/05,370 
A61B6/03,333@A 
他"
34,特願2016-502779,特表2016-518589,"2014/03/14
2014/09/18
-",早産を予測するためのバイオマーカーおよび方法,セラ プログノスティックス， インコーポレイテッド,"G01N33/68 
G01N27/62@V 
C12Q1/68@A 
他"
35,特願2016-502903,特表2016-517595,"2014/03/14
2014/09/18
2017/12/08",個別化医療における情報の電子配信,１２ディーエックス インコーポレイテッド 他,"G06Q50/22 
G16H20/00"
36,特願2015-555350,特表2016-518633,"2014/01/24
2014/07/31
2017/09/01",モバイルデバイス上での挙動の特徴の適応的な観測,クアルコム，インコーポレイテッド,"G06F11/34@S 
G06F21/55 
H04L13/00,313 
他"
37,特願2014-551142,再表2014/088073,"2013/12/05
2014/06/12
2015/09/11",性向判別装置、タスク実行支援装置、性向判別コンピュータプログラムおよびタスク実行支援コンピュータプログラム,株式会社国際電気通信基礎技術研究所 他,"A61B5/05,382 
A61B90/00 
A61B5/055,382"
38,特願2015-537831,特表2016-500014,"2013/10/17
2014/04/24
2018/11/02",脈管構造を数値的に評価するためのシステムおよび方法,ハートフロー， インコーポレイテッド,"A61B6/03,360@D 
A61B10/00@K 
A61B5/02,800 
他"
39,特願2015-519487,特表2015-527901,"2013/06/26
2014/01/03
2017/04/28",管腔器官における流れに関連する画像処理,エスワイエヌシー－アールエックス、リミテッド 他,"A61B6/00,330@A 
A61B6/00,331@E 
A61B6/00,350@C 
他"
40,特願2015-506326,特表2015-514491,"2013/03/29
2013/10/03
2017/09/29",形状検知によるアーティファクト除去,コーニンクレッカ フィリップス エヌ ヴェ,"A61B6/03,350@R 
A61B6/12 
A61B6/03,370@B 
他"
41,特願2014-527784,特表2014-531575,"2012/08/28
2013/03/07
2017/04/21",確率論的ボクセルマップを用いた高速高密度点群イメージング,コーニンクレッカ フィリップス エヌ ヴェ,"A61B1/00,300@D 
A61B19/00,502 
G01B11/24@B 
他"
42,特願2014-501795,特表2014-510923,"2012/03/29
2012/10/04
2016/04/08",特に医療分野における機器応答を較正して試料を定量化学分析するためのシステム、及び対応する方法,フロリディア，マテオ 他,"G01N27/62@D 
G01N27/62@G 
G01N27/62@X 
他"
43,特願2012-551042,再表2012/091093,"2011/12/28
2012/07/05
-",緑内障診断チップと変形プロテオミクスクラスター解析による緑内障統合的判定方法,田代 啓 他,"C12M1/00@A 
C12Q1/06 
C12Q1/68@A 
他"
44,特願2011-513340,再表2010/131641,"2010/05/11
2010/11/18
-",細胞の状態を判別する方法,独立行政法人産業技術総合研究所,"C12Q1/02 
C12Q1/68@A 
G01N21/64@F 
他"
45,特願2011-509052,特表2011-520206,"2009/05/06
2009/11/19
2014/01/31",医療分析システム,コーニンクレッカ フィリップス エヌ ヴェ,"G06F17/60,126@G 
G06Q50/22,106 
G06Q50/22 
他"
46,特願2007-100546,特開2008-257569,"2007/04/06
2008/10/23
2012/12/07",医療用の情報処理システム,コニカミノルタエムジー株式会社,"A61B5/00,102@E 
G06F17/30,110@C 
G06F17/30,180@A 
他"
47,特願2006-292667,特開2008-108199,"2006/10/27
2008/05/08
-",データベースシステム、プログラム、及びデータベースシステムにおける情報検索方法,コニカミノルタエムジー株式会社,"G06F17/30,180@B 
G06F17/60,126@G 
G06F17/60,126@M 
他"
48,特願2009-519439,特表2009-543254,"2007/06/07
2008/01/17
2013/09/13",トランスダクティブデータ分類のための方法およびシステム、ならびに機械学習手法を用いたデータ分類方法,コファックス，インコーポレイテッド,"G06F17/30,210@D 
G06F19/00,130 
G06N3/00,560@A 
他"
49,特願2007-520161,再表2006/132320,"2006/06/08
2006/12/14
2010/10/29",医療ガイド・システム,インターナショナル・ビジネス・マシーンズ・コーポレーション,"G06F17/30,350@C 
G06F17/60,126@A 
G06Q50/22,100 
他"
50,特願2007-542454,特表2008-520324,"2005/11/21
2006/05/26
-",コンピュータ支援による肺結節誤検出低減における不均衡なケース数を克服するための層化方法,コーニンクレッカ フィリップス エヌ ヴェ,"A61B6/03,360@D 
G06T7/00,250 
G06T7/00,350@D 
他"
51,特願2007-542446,特表2008-520322,"2005/11/21
2006/05/26
-",新規な３Ｄ特徴を備えるコンピュータ支援検出（ＣＡＤ）における誤検出の低減,コーニンクレッカ フィリップス エヌ ヴェ,"A61B6/03,360@J 
G06T1/00,290@B 
G06T7/00,612"
52,特願2007-542438,特表2008-520318,"2005/11/18
2006/05/26
-",サポートベクタマシン（ＳＶＭ）を用いるコンピュータ支援検出（ＣＡＤ）における誤検出低減のためのシステム及び方法,コーニンクレッカ フィリップス エヌ ヴェ,"A61B5/00@G 
A61B6/03,360@D 
G06F17/30,170@B 
他"
53,特願2007-516701,特表2008-506422,"2005/06/15
2005/12/29
2014/05/23",誘発神経応答閾値の自動決定,コクレア リミテッド,"A61B5/04@R 
A61B5/04,320@M 
A61B5/12"
54,特願2004-000639,特開2005-085256,"2004/01/05
2005/03/31
-",プロアクティブユーザインターフェース,三星電子株式会社,"G06F3/00,654@A 
G06F3/048,654@A 
H04M1/247 
他"
55,特願2006-517607,特表2007-526016,"2004/06/25
2005/01/06
-",心撮像の自動局所心筋評価を行うシステム及び方法,シーメンス メディカル ソリューションズ ユーエスエー インコーポレイテッド,"A61B5/00@G 
A61B5/05,390 
A61B6/03,360@J 
他"
56,特願2006-517605,特表2007-524461,"2004/06/25
2005/01/06
-",乳房撮像の自動診断及び決定支援システム及び方法,シーメンス メディカル ソリューションズ ユーエスエー インコーポレイテッド,"A61B5/00@G 
A61B5/05,380 
A61B5/05,390 
他"
