,項番,出願番号,文献番号,"出願日
公知日
登録日",発明の名称,出願人,FI,出願日,count,month,year,FI_class,FI_subclass,FI_classJP,FI_subclassJP
10,11,特願2017-054320,特開2018-157482,"2017/03/21
2018/10/04
-",ゲートウェイ装置及びその制御方法、並びにプログラム,ＫＤＤＩ株式会社,"H04L12/66@Z 
G06N99/00,150",2017-03-21,1,3,2017,"G06N
H04L","H04L12/66
G06N99/00","['特定の計算モデルに基づくコンピュータ・システム［７］']
['デジタル情報の伝送，例．電信通信（電信通信と電話通信に共通の装置Ｈ０４Ｍ）［４］']","['異なる形式の交換方式を有するネットワーク間の接続のための配置，例．ゲートウェイ［５，６］']
['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']"
11,12,特願2017-219802,特開2018-156626,"2017/11/15
2018/10/04
-",空調設備のリモートインテリジェント有限状態機械制御システム,台達電子工業股▲ふん▼有限公司,"G06F9/06,620@A 
F24F11/02@F 
F24F11/02,103@A 
他",2017-11-15,1,11,2017,"他
G06F
F24F","G06F9/06
F24F11/02
F24F11/02
他","[]
['電気的デジタルデータ処理（特定の計算モデルに基づくコンピュータ・システムＧ０６Ｎ）']
['空気調節；空気加湿；換気；しゃへいのためのエアカーテンの利用（発生場所からのじんあいまたは臭気の除去Ｂ０８Ｂ１５／００；建物から廃ガスを除去するための垂直ダクトＥ０４Ｆ１７／０２；煙突または通風軸（換気塔）の先端，煙道の末端Ｆ２３Ｌ１７／０２）']","['プログラム記憶方式を用いるもの，すなわちプログラムを受取りまたは保持するために処理装置の内部記憶装置を用いるもの']
[]
[]
[]"
12,13,特願2017-052446,特開2018-153391,"2017/03/17
2018/10/04
-",電子機器、泳法判定方法、泳法判定プログラム及び記憶媒体,セイコーエプソン株式会社,"A63B71/06@M 
A63B31/10 
A63B31/12",2017-03-17,1,3,2017,A63B,"A63B71/06
A63B31/10
A63B31/12",['身体の鍛錬、体操、水泳、登はん、またはフェンシングのための装置；球技；訓練用具（受動的鍛練のための装置，マッサージＡ６１Ｈ）'],"['ゲームまたは競技者用の指示または採点装置']
['手または足によって保持され，または付着されるもの［３］']
['腕または脚によって保持され，または付着されるもの［３］']"
13,14,特願2018-053250,特許6400871,"2018/03/20
2018/10/03
2018/09/14",発話制御装置、発話制御方法、および発話制御プログラム,ヤフー株式会社,"G10L13/02,130@Z 
G10L15/22,200@Z 
G10L13/00,100@M 
他",2018-03-20,1,3,2018,"他
G10L","G10L13/02
G10L15/22
G10L13/00
他","[]
['音声の分析または合成；音声認識；音声処理；音声または音響の符号化と復号化［４］']","['合成音作成の方法；音声合成器［７，２０１３．０１］']
['音声認識処理中の手順，例．マン・マシン対話［７］']
['音声の合成；テキストを音声に変換するシステム［７］']
[]"
14,15,特願2017-049007,特開2018-151974,"2017/03/14
2018/09/27
-",学習成果識別装置、学習成果識別方法、及びそのプログラム,オムロン株式会社,"G06N99/00,150 
G06N3/08",2017-03-14,1,3,2017,G06N,"G06N99/00
G06N3/08",['特定の計算モデルに基づくコンピュータ・システム［７］'],"['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']
['学習方法［７］']"
15,16,特願2017-046848,特開2018-151802,"2017/03/12
2018/09/27
-",通信機器に搭載したセンサーを活用した保険料の価格付け装置,畑 加寿也,G06Q40/08,2017-03-12,1,3,2017,G06Q,G06Q40/08,['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］'],['保険，例．リスク分析または年金［２０１２．０１］']
16,17,特願2017-047459,特開2018-149628,"2017/03/13
2018/09/27
-",機械学習により補正した計測データでワークの取り出しを行うロボットシステム、計測データ処理装置および計測データ処理方法,ファナック株式会社,"B25J13/00@Z 
B25J13/08@A",2017-03-13,1,3,2017,B25J,"B25J13/00
B25J13/08",['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］'],"['マニプレータの制御（プログラム制御Ｂ２５Ｊ９／１６）［４］']
['センサー手段，例．視覚または触覚装置，によるもの［４］']"
17,18,特願2017-173563,特開2018-149260,"2017/09/08
2018/09/27
-",睡眠段階判定装置、睡眠段階判定方法及びプログラム,学校法人立命館 他,"A61B5/16 
A61B5/10,310@A 
A61B5/11",2017-09-08,1,9,2017,A61B,"A61B5/16
A61B5/10
A61B5/11",['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）'],"['心理検査のための用具（教習または教育用具の使用Ｇ０９Ｂ１／００～Ｇ０９Ｂ７／００）；反応時間の検査']
[]
['身体全体またはその部分の動きを測定するもの，例．頭または手の震えまたは４肢の運動性（脈はく測定のためのものＡ６１Ｂ５／０２）［５］']"
18,19,特願2017-173562,特開2018-149259,"2017/09/08
2018/09/27
-",睡眠段階判定装置、睡眠段階判定方法及びプログラム,国立大学法人電気通信大学,"A61B5/16 
A61B5/10,310@A 
A61B5/11",2017-09-08,1,9,2017,A61B,"A61B5/16
A61B5/10
A61B5/11",['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）'],"['心理検査のための用具（教習または教育用具の使用Ｇ０９Ｂ１／００～Ｇ０９Ｂ７／００）；反応時間の検査']
[]
['身体全体またはその部分の動きを測定するもの，例．頭または手の震えまたは４肢の運動性（脈はく測定のためのものＡ６１Ｂ５／０２）［５］']"
19,20,特願2018-026134,特開2018-147474,"2018/02/16
2018/09/20
-",学習装置、学習結果利用装置、学習方法及び学習プログラム,オムロン株式会社,"G06N99/00,153 
G06N99/00,156 
G06N3/04 
他",2018-02-16,1,2,2018,"他
G06N","G06N99/00
G06N99/00
G06N3/04
他","[]
['特定の計算モデルに基づくコンピュータ・システム［７］']","['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']
['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']
['アーキテクチャ，例．網構造［７］']
[]"
20,21,特願2017-045017,特開2018-147443,"2017/03/09
2018/09/20
-",故障予知方法、故障予知装置および故障予知プログラム,安川情報システム株式会社,G05B23/02@R,2017-03-09,1,3,2017,G05B,G05B23/02,['制御系または調整系一般；このような系の機能要素；このような系または要素の監視または試験装置（流体圧アクチュエータまたは流体的手段で動作する系一般Ｆ１５Ｂ；弁それ自体Ｆ１６Ｋ；機械的構成のみを特徴とするものＧ０５Ｇ；検出要素は適当なサブクラス，例．Ｇ１２Ｂ，Ｇ０１，Ｈ０１のサブクラス，を参照；修正要素は適当なサブクラス，例．Ｈ０２Ｋ，を参照）'],['電気式試験または監視']
21,22,特願2017-039806,特開2018-146308,"2017/03/02
2018/09/20
-",検出装置,株式会社日立製作所,"G01N27/416,300@U
G01N21/64@Z 
G01N27/414,301@R 
他",2017-03-02,1,3,2017,"他
G01N","G01N27/41
G01N21/64
G01N27/41
他","[]
['材料の化学的または物理的性質の決定による材料の調査または分析（参照，免疫分析以外の酵素または微生物を含む測定または試験Ｃ１２Ｍ，Ｃ１２Ｑ）']","['酸素ポンピングセル［５］']
['蛍光；燐光［３］']
['酸素ポンピングセル［５］']
[]"
22,23,特願2017-043321,特開2018-145925,"2017/03/07
2018/09/20
-",エンジン回転数制御装置、及びエンジン回転数制御方法,三菱重工業株式会社,"F02D29/00@B 
E02F9/20@M 
F02D45/00,340@H 
他",2017-03-07,1,3,2017,"他
F02D
E02F","F02D29/00
E02F9/20@
F02D45/00
他","[]
['燃焼機関の制御（車両速度を自動的に制御する車両付属品であって，単一のサブユニットのみに作用するものＢ６０Ｋ３１／００；異なる種類又は異なる機能の車両用サブユニットの関連制御，特定の単一のサブユニットの制御に関するものではない，特定の目的のための道路上の車両の運転制御システムＢ６０Ｗ；周期的に作動する燃焼機関用弁Ｆ０１Ｌ；燃焼機関の潤滑の制御Ｆ０１Ｍ；内燃機関の冷却Ｆ０１Ｐ；燃焼機関への可燃混合物またはその成分の供給，例．気化器，噴射ポンプＦ０２Ｍ；燃焼機関の始動Ｆ０２Ｎ；点火の制御Ｆ０２Ｐ；ガスタービン設備，ジェット推進設備または焼燃生成ガス機関設備の制御はこれらの設備に関連したサブクラスを参照）［４，８］']
['掘削；土砂の移送（泥炭の採掘Ｅ２１Ｃ４９／００）']","['機関の作動に不可欠な部品または補機以外の装置であって機関により駆動されるものに特有な制御，例．機関外からの信号による機関の制御［２］']
[]
['グループＦ０２Ｄ４１／００～Ｆ０２Ｄ４３／００に分類されない電気的制御（排気ガス処理装置の電気的制御Ｆ０１Ｎ９／００；点火，潤滑，冷却，始動，吸気加熱の機能のうちの一つの電気的制御はそのような機能の関連するサブクラスを参照）［４］']
[]"
23,24,特願2017-179933,特開2018-142295,"2017/09/20
2018/09/13
-",機械学習に基づくアクセス制御のためのシステムおよび方法、プログラム,富士ゼロックス株式会社,"G06Q10/10 
G06N99/00,150 
G06Q10/06,332",2017-09-20,1,9,2017,"G06Q
G06N","G06Q10/10
G06N99/00
G06Q10/06","['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］']
['特定の計算モデルに基づくコンピュータ・システム［７］']","['オフィスオートメーション，例．電子メールまたはグループウェアのコンピュータによる管理（電子メールネットワークシステムＨ０４Ｌ１２／５８；電子メールプロトコルＨ０４Ｌ２９／０６）；時間管理，例．カレンダー，リマインダー，ミーティング，時間会計［２０１２．０１］']
['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']
['資源，ワークフロー，人員またはプロジェクト管理，例．組織化，計画，スケジューリング，時間的，人的または物的資源の割り当て；事業計画；組織モデル［２０１２．０１］']"
24,25,特願2017-037178,特開2018-142256,"2017/02/28
2018/09/13
-",在庫管理および予防保全を行う機能を有する在庫管理システム,ファナック株式会社,"G05B19/418@Z 
B65G1/137@A 
G06Q10/00,300",2017-02-28,1,2,2017,"B65G
G06Q
G05B","G05B19/41
B65G1/137
G06Q10/00","['運搬または貯蔵装置，例．荷積みまたは荷あげ用コンベヤ；作業場コンベヤシステムまたは気体式チューブコンベヤ（包装におけるものＢ６５Ｂ；薄板状または線状材料の取扱い，例．シート状の紙または糸，Ｂ６５Ｈ；クレーンＢ６６Ｃ；携帯または移動用リフトまたは牽引装置，例．ホイスト，Ｂ６６Ｄ；荷積みまたは荷おろしの目的のために物を昇降するための装置，例．フォークリフト，Ｂ６６Ｆ９／００；他に分類されないびん，広口びん，缶，たるまたは類似した容器の液体の排除，Ｂ６７Ｃ９／００；液体の配達または移送Ｂ６７Ｄ；液化，固化または圧縮ガスの容器の充填または放出Ｆ１７Ｃ；流体の管路系Ｆ１７Ｄ）']
['管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したデータ処理システムまたは方法；他に分類されない，管理目的，商用目的，金融目的，経営目的，監督目的または予測目的に特に適合したシステムまたは方法［８］']
['制御系または調整系一般；このような系の機能要素；このような系または要素の監視または試験装置（流体圧アクチュエータまたは流体的手段で動作する系一般Ｆ１５Ｂ；弁それ自体Ｆ１６Ｋ；機械的構成のみを特徴とするものＧ０５Ｇ；検出要素は適当なサブクラス，例．Ｇ１２Ｂ，Ｇ０１，Ｈ０１のサブクラス，を参照；修正要素は適当なサブクラス，例．Ｈ０２Ｋ，を参照）']","['補間に特徴のあるもの，例．従うべき経路とその経路に沿った移動速度を定義するためのプログラムされた終点間における中間点の計算（Ｇ０５Ｂ１９／２５，Ｇ０５Ｂ１９／３１，Ｇ０５Ｂ１９／３７，Ｇ０５Ｂ１９／３９，Ｇ０５Ｂ１９／４０が優先）［３，６］']
['取出す物品を選択するための装置または自動制御手段をもつもの［４］']
['管理；経営［８，２０１２．０１］']"
25,26,特願2018-016972,特開2018-140162,"2018/02/02
2018/09/13
-",作業適正度判定システム,パナソニックＩＰマネジメント株式会社,"A61B5/18 
A61B5/02,800@D 
A61B5/16 
他",2018-02-02,1,2,2018,"他
A61B","A61B5/18
A61B5/02
A61B5/16
他","[]
['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）']","['車両運転者のためのもの']
['脈拍，心拍，血圧または血流の測定；結合された脈拍／心拍／血圧の測定；他に分類されない心臓血管の状態の評価，例．このグループに分類される技術と心電計との結合を用いるもの；血圧測定用心臓カテーテル［５］']
['心理検査のための用具（教習または教育用具の使用Ｇ０９Ｂ１／００～Ｇ０９Ｂ７／００）；反応時間の検査']
[]"
26,27,特願2017-244567,特開2018-137210,"2017/12/21
2018/08/30
-",燃料電池システムにおける分散故障管理のためのシステムおよび方法,ゼネラル・エレクトリック・カンパニイ,"H01M8/04@Z 
H01M8/04992 
H01M8/0432 
他",2017-12-21,1,12,2017,"他
H01M","H01M8/04@
H01M8/049
H01M8/043
他","[]
['化学的エネルギーを電気的エネルギーに直接変換するための方法または手段，例．電池［２］']","[]
[]
['特定の時期に適用される方法［２０１６．０１］']
[]"
27,28,特願2017-031210,特開2018-136781,"2017/02/22
2018/08/30
-",渋滞緩和支援装置、サーバ装置、渋滞緩和支援システム、渋滞緩和支援方法、およびプログラム,本田技研工業株式会社,"G08G1/00@A 
G01C21/34 
B60W40/04 
他",2017-02-22,1,2,2017,"他
G08G
G01C
B60W","G08G1/00@
G01C21/34
B60W40/04
他","[]
['交通制御システム（鉄道交通の案内，保安Ｂ６１Ｌ；特に交通制御に適したレーダまたは類似の方式，ソナーまたはライダー方式Ｇ０１Ｓ１３／９１，Ｇ０１Ｓ１５／８８，Ｇ０１Ｓ１７／８８；特に衝突防止目的に適したレーダまたは類似の方式，ソナーまたはライダー方式Ｇ０１Ｓ１３／９３，Ｇ０１Ｓ１５／９３，Ｇ０１Ｓ１７／９３；陸上，水中，空中または宇宙用運送手段について，交通環境に特化しない位置，進路，高度または姿勢の制御Ｇ０５Ｄ１／００）［２］']
['距離，水準または方位の測定；測量；航行；ジャイロ計器；写真計量または映像計量（液位の測定Ｇ０１Ｆ；無線による航行，電波の伝播効果，例．ドプラ効果，伝播時間，の使用による距離または速度の決定，その他の波を用いる類似の装置Ｇ０１Ｓ）']
['異なる種類または異なる機能の車両用サブユニットの関連制御；ハイブリッド車両に特に適した制御システム；特定の単一のサブユニットの制御に関するものではない、特定の目的のための道路走行用車両の運動制御システム［８］']","[]
['経路探索；経路案内［７］']
['交通の状態［８］']
[]"
28,29,特願2017-032901,特開2018-134724,"2017/02/24
2018/08/30
-",動作推定装置及び動作補助装置,ボッシュ株式会社,"B25J13/00@Z 
B25J11/00@Z 
A61F2/72",2017-02-24,1,2,2017,"A61F
B25J","B25J13/00
B25J11/00
A61F2/72","['血管へ埋め込み可能なフィルター；補綴；人体の管状構造を開存させるまたは虚脱を防ぐ装置，例．ステント；整形外科用具，看護用具または避妊用具；温湿布；目または耳の治療または保護；包帯；被覆用品または吸収性パッド；救急箱（歯科用補綴Ａ６１Ｃ）［６，８］']
['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］']","['マニプレータの制御（プログラム制御Ｂ２５Ｊ９／１６）［４］']
['他類に分類されないマニプレータ']
['生体電気的制御，例．筋電によるもの［４］']"
29,30,特願2017-025065,特開2018-132884,"2017/02/14
2018/08/23
-",判定装置、判定方法および判定プログラム,富士通株式会社,"G05B19/418@Z 
B25J19/06 
G06N99/00,153",2017-02-14,1,2,2017,"G06N
G05B
B25J","G05B19/41
B25J19/06
G06N99/00","['特定の計算モデルに基づくコンピュータ・システム［７］']
['制御系または調整系一般；このような系の機能要素；このような系または要素の監視または試験装置（流体圧アクチュエータまたは流体的手段で動作する系一般Ｆ１５Ｂ；弁それ自体Ｆ１６Ｋ；機械的構成のみを特徴とするものＧ０５Ｇ；検出要素は適当なサブクラス，例．Ｇ１２Ｂ，Ｇ０１，Ｈ０１のサブクラス，を参照；修正要素は適当なサブクラス，例．Ｈ０２Ｋ，を参照）']
['マニプレータ；マニプレータ装置を持つ小室（果実，野菜，穀物等を専用に扱うロボット装置Ａ０１Ｄ４６／３０，手術用のマニプレータＡ６１Ｂ１７／０６２，ロールミルに関連するマニプレータＢ２１Ｂ３９／２０；鍛造機械に関連するマニプレータＢ２１Ｊ１３／１０；車輪またはその部品の保持手段Ｂ６０Ｂ３０／００；クレーンＢ６６Ｃ；核反応装置内で使用される燃料等をハンドリングする装置Ｇ２１Ｃ１９／００；放射能からシールドされた小室等を有するマニプレータの構造的結合Ｇ２１Ｆ７／０６）［５］']","['補間に特徴のあるもの，例．従うべき経路とその経路に沿った移動速度を定義するためのプログラムされた終点間における中間点の計算（Ｇ０５Ｂ１９／２５，Ｇ０５Ｂ１９／３１，Ｇ０５Ｂ１９／３７，Ｇ０５Ｂ１９／３９，Ｇ０５Ｂ１９／４０が優先）［３，６］']
['安全装置［４］']
['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']"
30,31,特願2017-024927,特開2018-132870,"2017/02/14
2018/08/23
-",識別装置,オムロン株式会社,"G06N99/00,153 
G06N3/08",2017-02-14,1,2,2017,G06N,"G06N99/00
G06N3/08",['特定の計算モデルに基づくコンピュータ・システム［７］'],"['このサブクラスの他のグループに分類されない主題事項［２０１０．０１］']
['学習方法［７］']"
31,32,特願2017-026152,特開2018-130798,"2017/02/15
2018/08/23
-",数値制御装置,ファナック株式会社,"B23Q15/12@Z 
B23Q17/00@A 
B23B1/00@N 
他",2017-02-15,1,2,2017,"B23Q
他
B23B","B23Q15/12
B23Q17/00
B23B1/00@
他","['工作機械の細部；構成部分，または付属装置，例．倣いまたは制御装置（旋盤またはボール盤の工具Ｂ２３Ｂ２７／００）；特定の細部または構成部分の構造により特徴づけられる工作機械一般；特定の結果を目的としない金属加工機械の組合わせ']
[]
['旋削；中ぐり（工具としての電極を使用するものＢ２３Ｈ；\u3000例．\u3000孔あけＢ２３Ｈ９／１４；\u3000レーザービームによる加工Ｂ２３Ｋ２６／００；\u3000倣い削りまたは制御のための装置Ｂ２３Ｑ）']","['適応制御，すなわち，予め指定された判断基準にしたがって最適な動作を行うように自らを調節するもの［３］']
['工作機械上において指示または測定する装置の配置（送り移動，切削速度または工具または工作物の位置の自動制御または調整Ｂ２３Ｑ１５／００）［３，４］']
[]
[]"
32,33,特願2018-023026,特開2018-130541,"2018/02/13
2018/08/23
-",融合アプローチを用いた人の冠動脈疾患の検出のための方法およびシステム,タタ コンサルタンシー サービシズ リミテッド,"A61B5/02@B 
A61B10/00@K",2018-02-13,1,2,2018,A61B,"A61B5/02@
A61B10/00",['診断；手術；個人識別（生物学的材料の分析Ｇ０１Ｎ，例．Ｇ０１Ｎ３３／４８）'],"[]
['他の診断法または診断機器，例．診断ワクチン接種用機器；性の決定；排卵期の決定；咽喉をたたく器具［４，８］']"
33,34,特願2017-027099,特開2018-130082,"2017/02/16
2018/08/23
-",食品製品の提供方法及び商品の提供方法,株式会社すなおネット,A23L5/00@Z,2017-02-16,1,2,2017,A23L,A23L5/00@,['Ａ２１ＤまたはＡ２３ＢからＡ２３Ｊまでに包含されない食品，食料品，または非アルコール性飲料；その調製または処理，例．加熱調理，栄養改善，物理的処理（このサブクラスには完全に包含されない，食品の成形または加工Ａ２３Ｐ）；食品または食料品の保存一般（ベイキング用穀粉または生地の保存Ａ２１Ｄ）［４，８］'],[]
