インデキシングフラグ,記号,ドット,タイトル
,,,（４）（ａ）化学的部分または面および非化学的部分または面の両方を有する操作，処理，製品または物品の場合に，一般規則として，化学的部分または面はＣセクションに包含される。
,,,（ｂ）これらのうちのある場合には，化学的部分または面には非化学的部分または面を伴い，純粋に機械的部分または面を伴うことさえある，というのは非化学的面は操作または処理にとって本質的であるかまたはそれらの重要な要素を構成するからである；実際，全体のさまざまな部分または面を分割しないのがより論理的と思える。これは応用化学や上記注（１）（ｃ），（ｄ）および（ｅ）の工業，操作および処理の場合に適用される。例えば，ガラス製造用特殊炉はＣ０３に包含されＦ２７には包含されない。
,,,（ｃ）しかしながら，機械的面（または非化学的面）に非化学的な面が伴うという例外もある，例えば：
,,,―サブクラスＡ６１Ｋにおけるある抽出プロセス；
,,,―サブクラスＡ６１Ｌにおける空気の化学的精製；
,,,―サブクラスＡ６２Ｄにおける化学的消火方法；
,,,―クラスＢ０１における化学的プロセスおよび装置；
,,,―サブクラスＢ２７Ｋにおける木材の含浸；
,,,―サブクラスＧ０１Ｎにおける化学的分析または試験法；
,,,―クラスＧ０３における写真材料またはプロセス，そして一般に，Ｄセクションにおける繊維の化学的処理および繊維素，紙等の製造
,,,（ｄ）さらに他の場合，純粋化学的面はＣセクションに包含され，応用化学的面はＡ，Ｂ，Ｆセクションのような他のセクションに包含される，例．以下の物質または組成物の使用：
,,,―サブクラスＡ０１Ｎに包含される植物または動物の処理；
,,,―クラスＡ２３に包含される食物；
,,,―クラスＦ４２に包含される弾薬または爆薬
,,,（ｅ）化学的面および機械的面が非常に交錯して，簡単明確な分割ができない時，または化学的処理が自然なまたは論理的な延長として機械的プロセスを要する時は，化学的面に加えて，Ｃセクションは機械的面の一部のみ，例．クラスＣ０４に包含される人造石の後処理，を包含する。この後者の場合に，たとえその区別がむしろ任意であってもその位置を明確にするよう注または参照を通常設けている。
,C01,,無機化学
,＜注＞,,（１）サブクラスＣ０１Ｂ～Ｃ０１Ｇにおいては，ラストプレイス優先ルールが適用される，すなわち各階層レベルにおいて相反する指示のない限り，化合物は最後の適切な箇所に分類する，例．過マンガン酸カリウムは，サブクラスＣ０１Ｇに過マンガン酸塩としてのみ分類する［３］
,,,（２）化合物または組成物の殺生物，有害生物忌避，有害生物誘引または植物生長調節活性は，さらにサブクラスＡ０１Ｐに分類する。［８］
,,,化学
,C01B,,非金属元素；その化合物  （発酵によるかまたは酵素を使用した元素または二酸化炭素以外の無機化合物の製造Ｃ１２Ｐ３／００；電気分解または電気泳動による非金属元素または無機化合物の製造Ｃ２５Ｂ）
,＜注＞,,（１）このサブクラスでは，グループの範囲を正確に定義するため科学文献および特許文献でしばしば使われる商品名が使用されている。［６］
,,,（２）Ｃセクションのタイトルに続く化学元素のグループの定義に注意すること［３］
,,,（３）サブクラスＣ０１ＢからＣ０１Ｇに適用するラストプレイス優先ルールを規定するクラスＣ０１に続くクラス注（１）に注意すること。［８］
,,,（４）化合物の治療活性は，サブクラスＡ６１Ｐにさらに分類する。［７］
,＜索引＞,,水素；水素同位元素；水；水素化物　Ｃ０１Ｂ３／００；Ｃ０１Ｂ４／００；Ｃ０１Ｂ５／００；Ｃ０１Ｂ６／００
,,,合成ガス　Ｃ０１Ｂ３／００
,,,ハロゲン，その化合物　Ｃ０１Ｂ７／００，Ｃ０１Ｂ９／００，Ｃ０１Ｂ１１／００
,,,酸素，酸化物一般；過化合物　Ｃ０１Ｂ１３／００；Ｃ０１Ｂ１５／００
,,,いおう，その化合物　Ｃ０１Ｂ１７／００
,,,窒素，その化合物　Ｃ０１Ｂ２１／００
,,,りん，その化合物　Ｃ０１Ｂ２５／００
,,,炭素，その化合物　Ｃ０１Ｂ３２／００
,,,けい素，その化合物　Ｃ０１Ｂ３３／００
,,,セレンまたはテルル；ほう素　Ｃ０１Ｂ１９／００；Ｃ０１Ｂ３５／００
,,,希ガス　Ｃ０１Ｂ２３／００
,,,分子ふるい特性を有するが塩基交換持性を有しない化合物　Ｃ０１Ｂ３７／００
,,,分子ふるい特性と塩基交換特性を有する化合物　Ｃ０１Ｂ３９／００
,,,水素；水素化物；水；炭化水素からの合成ガス
,C01B   3/00,,水素；水素を含有する混合ガス；水素を含有する混合物からのそれの分離；水素の精製（固体炭素質物質からの水性ガスまたは合成ガスの製造Ｃ１０Ｊ）［３］
,C01B   3/02,・,水素または水素含有混合ガスの製造［３］
,C01B   3/04,・・,無機化合物，例．アンモニア，の分解によるもの［３］
,C01B   3/06,・・,エレクトロポジティブに結合した水素を含有する無機化合物，例．水，酸，塩基，アンモニア，と無機還元剤との反応によるもの（水電解によるものＣ２５Ｂ１／０４）［３］
,C01B   3/08,・・・,金属によるもの［３］
,C01B   3/10,・・・・,金属と水蒸気との反応によるもの［３］
,C01B   3/12,・・・,一酸化炭素と水蒸気との反応によるもの［３］
,C01B   3/14,・・・・,熱および蒸気の運用［３］
,C01B   3/16,・・・・,触媒を使用するもの［３］
,C01B   3/18,・・・・,移動固体粒子を使用するもの［３］
,C01B   3/20,・・・,金属水酸化物と一酸化炭素との反応によるもの［３］
,C01B   3/22,・・,気体または液体有機化合物の分解によるもの［３］
,C01B   3/24,・・・,炭化水素の［３］
,C01B   3/26,・・・・,触媒を使用するもの［３］
,C01B   3/28,・・・・,移動固体粒子を使用するもの［３］
,C01B   3/30,・・・・・,流動床技術を用いるもの［３］
,C01B   3/32,・・,ガス化剤，例．水，二酸化炭素，空気，と気体または液体有機化合物との反応によるもの［３］
,C01B   3/34,・・・,ガス化剤と炭化水素との反応によるもの［３］
,C01B   3/36,・・・・,ガス化剤として酸素または酸素含有混合物を用いるもの［３］
,C01B   3/38,・・・・,触媒を用いるもの［３］
,C01B   3/40,・・・・・,触媒を特徴とするもの［３］
,C01B   3/42,・・・・・,移動固体粒子を用いるもの［３］
,C01B   3/44,・・・・・・,流動床技術を用いるもの［３］
,C01B   3/46,・・・・,不連続的に予熱された非移動固体材料を用いるもの，例．ブラストとラン［３］
,C01B   3/48,・・・・,一酸化炭素と水蒸気との反応にしたがうもの［３］
,C01B   3/50,・,混合ガスからの水素または水素含有ガスの分離，例．精製（Ｃ０１Ｂ３／１４が優先）［３］
,C01B   3/52,・・,液体との接触によるもの；使用液体の再生［３］
,C01B   3/54,・・・,触媒反応を含むもの［３］
,C01B   3/56,・・,固体との接触によるもの；使用固体の再生［３］
,C01B   3/58,・・・,触媒反応を含むもの［３］
,C01B   4/00,,水素同位元素；同位元素交換により製造されるその無機化合物，例．ＮＨ↓３＋Ｄ↓２→ＮＨ↓２Ｄ＋ＨＤ［２］
,C01B   5/00,,水
,C01B   5/02,・,重水；水素同位元素またはその化合物の化学反応による製造，例．４ＮＤ↓３＋７Ｏ↓２→４ＮＯ↓２＋６Ｄ↓２Ｏ，２Ｄ↓２＋Ｏ↓２→２Ｄ↓２Ｏ
,C01B   6/00,,金属の水素化物；モノボランまたはジボラン；その付加錯化合物［２］
,C01B   6/02,・,遷移元素の水素化物；その付加錯化合物
,C01B   6/04,・,アルカリ金属，アルカリ土類金属，ベリリウムまたはマグネシウムの水素化物；それらの付加錯化合物
,C01B   6/06,・,アルミニウム，ガリウム，インジウム，タリウム，ゲルマニウム，錫，鉛，ひ素，アンチモン，ビスマスまたはポロニウムの水素化物；モノボラン；ジボラン；それらの付加錯化合物
,C01B   6/10,・・,モノボラン；ジボラン；それらの付加錯化合物［２］
,C01B   6/11,・・・,ほう素またはほう素と酸素を含有する無機化合物からの製造［２］
,C01B   6/13,・・・,モノボランまたはジボランの付加錯化合物，例．ホスフイン，アルシンまたはヒドラジンとの［２］
,C01B   6/15,・・・・,金属ほう水素化物；その付加錯化合物［２］
,C01B   6/17,・・・・・,ほう素またはほう素と酸素とを含有する無機化合物からの製造［２］
,C01B   6/19,・・・・・,他のほう素化合物からの製造［２］
,C01B   6/21,・・・・・・,アルカリ金属，アルカリ土類金属，マグネシウムまたはベリリウムのほう水素化物の製造；それらの付加錯化合物，例．ＬｉＢＨ↓４・２Ｎ↓２Ｈ↓４，ＮａＢ↓２Ｈ↓７［２］
,C01B   6/23,・・・・・・,他の金属ほう水素化物の製造，例．ほう水素化アルミニウム；その付加錯化合物，例．Ｌｉ〔Ａ１（ＢＨ↓４）↓３Ｈ〕［２］
,C01B   6/24,・,少なくとも２種の金属を含む水素化物，例．Ｌｉ（ＡｌＨ↓４）；その付加錯化合物（Ｃ０１Ｂ６／１３～Ｃ０１Ｂ６／２３が優先）［２］
,C01B   6/26,・・,最高イオン価を有する金属またはその酸化物またはそのオキソ酸の塩からの製造
,C01B   6/34,・,精製；安定化
,,,ハロゲン；その化合物
,C01B   7/00,,ハロゲン；ハロゲン化水素酸
,C01B   7/01,・,塩素；塩化水素［２］
,C01B   7/03,・・,塩化物からの製造［２，３］
,C01B   7/04,・・・,塩化水素からの塩素の製造［３］
,C01B   7/05,・・・,塩化アンモニウムからの製造［２，３］
,C01B   7/07,・・,精製［２，３］
,C01B   7/075,・・・,液体塩素の［２，３］
,C01B   7/09,・,臭素；臭化水素［２］
,C01B   7/13,・,よう素；よう化水素［２］
,C01B   7/14,・・,よう素［２］
,C01B   7/16,・・・,海草からの製造［２］
,C01B   7/19,・,ふっ素；ふっ化水素［２］
,C01B   7/20,・・,ふっ素［２］
,C01B   7/24,・,ハロゲン間化合物
,C01B   9/00,,ハロゲン化物製造の一般的方法（個々のハロゲン化物は，ハロゲンと結合している元素にしたがってＣ０１Ｂ～Ｃ０１Ｇの該当するグループ参照，無機化合物の電解製造Ｃ２５Ｂ）
,C01B   9/02,・,塩化物
,C01B   9/04,・,臭化物
,C01B   9/06,・,よう化物
,C01B   9/08,・,ふっ化物
,C01B  11/00,,ハロゲンの酸化物またはオキシ酸；その塩
,C01B  11/02,・,塩素の酸化物
,C01B  11/04,・,次亜塩素酸
,C01B  11/06,・・,次亜塩素酸塩，例．塩素化石灰
,C01B  11/08,・,亜塩素酸
,C01B  11/10,・・,亜塩素酸塩
,C01B  11/12,・,塩素酸
,C01B  11/14,・・,塩素酸塩
,C01B  11/16,・,過塩素酸
,C01B  11/18,・・,過塩素酸塩
,C01B  11/20,・,臭素の酸素化合物
,C01B  11/22,・,よう素の酸素化合物
,C01B  11/24,・,ふっ素の酸素化合物
,,,酸素；酸化物または水酸化物一般；過化合物
,C01B  13/00,,酸素；オゾン；酸化物または水酸化物一般
,C01B  13/02,・,酸素の製造（液化によるものＦ２５Ｊ）
,C01B  13/08,・・,金属酸化物，例．酸化バリウム，酸化マンガン，の助けにより空気から製造するもの
,C01B  13/10,・,オゾンの製造
,C01B  13/11,・・,放電によるもの［２］
,C01B  13/14,・,酸化物または水酸化物の一般的製造方法（特に個々の酸化物または水酸化物は酸素または水酸基と結合する元素にしたがってＣ０１Ｂ～Ｃ０１ＧまたはＣ２５Ｂの該当するグループを参照）
,C01B  13/16,・・,精製［３］
,C01B  13/18,・・,化合物の，例．塩または水酸化物の，熱分解［３］
,C01B  13/20,・・,ガス状態にある元素の酸化によるもの；ガス状態にある化合物の酸化または加水分解によるもの［３］
,C01B  13/22,・・・,ハロゲン化物またはオキシハロゲン化物の［３］
,C01B  13/24,・・・・,燃焼熱ガスの存在における［３］
,C01B  13/26,・・・・,流動床の存在における［３］
,C01B  13/28,・・・・,プラズマまたは放電を用いるもの［３］
,C01B  13/30,・・・・,酸化物を含む懸濁物の除去と冷却［３］
,C01B  13/32,・・,液体または固体の状態にある元素または化合物の酸化または加水分解によるもの［３］
,C01B  13/34,・・,霧化または噴霧された溶液の酸化または加水分解によるもの［３］
,C01B  13/36,・・,溶液中の沈でん反応によるもの［３］
,C01B  15/00,,過酸化物；過酸化水素化物；ペルオキシ酸またはその塩；超酸化物；オゾニド
,C01B  15/01,・,過酸化水素［３］
,C01B  15/013,・・,分離；精製；濃縮［３］
,C01B  15/017,・・・,無水過酸化水素；過酸化水素を含む無水溶液またはガス状混合物［３］
,C01B  15/022,・・,有機化合物からの製造［２］
,C01B  15/023,・・・,アルキル―アントラキノン法によるもの［３］
,C01B  15/024,・・・,炭化水素からのもの［３］
,C01B  15/026,・・・,アルコールからのもの［３］
,C01B  15/027,・・,水からの製造［３］
,C01B  15/029,・・,水素および酸素からの製造［３］
,C01B  15/03,・・,無機過酸化化合物からの，例．ペルオキシ硫酸塩からの，製造［３］
,C01B  15/032,・・・,金属の過酸化物からの製造［３］
,C01B  15/037,・・,添加剤による安定化［３］
,C01B  15/04,・,金属過酸化物またはその過酸化水素化物；超酸化物；オゾニド［３］
,C01B  15/043,・・,アルカリ金属，アルカリ土類金属のまたはマグネシウムの［２，３］
,C01B  15/047,・・,重金属の［２，３］
,C01B  15/055,・,過酸化水素化物（Ｃ０１Ｂ１５／０４が優先）；ペルオルキシ酸またはその塩［３］
,C01B  15/06,・・,いおうを含むもの［３］
,C01B  15/08,・・・,ペルオキシ硫酸塩［３］
,C01B  15/10,・・,炭素を含むもの［３］
,C01B  15/12,・・,ほう素を含むもの［３］
,C01B  15/14,・・,けい素を含むもの［３］
,C01B  15/16,・・,りんを含むもの［３］
,,,＜見出し終了＞
,C01B  17/00,,いおう；その化合物
,C01B  17/02,・,いおうの製造；精製
,C01B  17/027,・・,元素状いおうを含む原料，例．ルックスマス，からのいおうの回収；精製［３］
,C01B  17/033,・・・,液体抽出剤を用いるもの［３］
,C01B  17/04,・・,ガス状硫化物を含むガス状いおう化合物からのもの
,C01B  17/05,・・・,湿式法によるもの［３］
,C01B  17/06,・・,非ガス状硫化物またはそのような硫化物を含む原料，例．鉱石，からのもの
,C01B  17/10,・・,粉状いおう，例．昇華いおう，いおう華
,C01B  17/12,・・,不溶性いおう（μ－いおう）
,C01B  17/16,・,硫化水素
,C01B  17/18,・・,水素多硫化物
,C01B  17/20,・,硫化物または多硫化物の一般的製造方法（硫化または多硫化アンモニウムＣ０１Ｃ；アルカリ金属，マグネシウム，カルシウム，ストロンチウムおよびバリウム以外の金属硫化物または多硫化物はその金属にしたがいＣ０１ＦまたはＣ０１Ｇの該当するグループ参照）
,C01B  17/22,・,アルカリ金属硫化物または多硫化物
,C01B  17/24,・・,還元による製造
,C01B  17/26,・・・,炭素によるもの
,C01B  17/28,・・・,還元性ガスによるもの
,C01B  17/30,・・,ナトリウムまたはカリウムアマルガムといおうまたは硫化物からの製造
,C01B  17/32,・・,ナトリウムまたはカリウムの水硫化物
,C01B  17/34,・・,ナトリウムまたはカリウムの多硫化物
,C01B  17/36,・・,精製
,C01B  17/38,・・,脱水
,C01B  17/40,・・,成形品，例．粒，の製造
,C01B  17/42,・,マグネシウム，カルシウム，ストロンチウムまたはバリウムの硫化物または多硫化物
,C01B  17/43,・・,酸化物または水酸化物といおうまたは硫化水素とからのもの
,C01B  17/44,・・,硫酸塩の還元によるもの
,C01B  17/45,・,いおうとハロゲンとを含有し，酸素を伴うまたは伴わない化合物
,C01B  17/46,・,いおう，ハロゲン，水素および酸素を含有する化合物
,C01B  17/48,・,二酸化いおう；亜硫酸
,C01B  17/50,・・,二酸化いおうの製造
,C01B  17/52,・・・,硫化物のばい焼によるもの（Ｃ２２Ｂ１／００が優先）
,C01B  17/54,・・・,元素状いおうの燃焼によるもの
,C01B  17/56,・・・,分離；精製
,C01B  17/58,・・・,アシッドタールまたは同等物から二酸化いおうの回収
,C01B  17/60,・・・,ガスから二酸化いおうの分離
,C01B  17/62,・,亜硫酸塩の一般的製造方法（特に個々の亜硫酸塩は陽イオンにしたがいＣ０１Ｂ～Ｃ０１Ｇ中の該当するグループ参照）
,C01B  17/64,・,チオ硫酸塩；亜二チオン酸塩；多チオン酸塩
,C01B  17/66,・・,亜二チオン酸塩
,C01B  17/69,・,三酸化いおう；硫酸［３］
,C01B  17/70,・・,γ型三酸化いおうの安定化
,C01B  17/74,・・,製造［３］
,C01B  17/76,・・・,接触法による
,C01B  17/765,・・・・,多段式ＳＯ↓３転化［３］
,C01B  17/77,・・・・,流動床法［３］
,C01B  17/775,・・・・,液相接触法または湿式触媒法［３］
,C01B  17/78,・・・・,使用触媒を特徴とするもの
,C01B  17/79,・・・・・,バナジウムを含むもの［３］
,C01B  17/80,・・・・,装置
,C01B  17/82,・・・,酸化窒素法を用いる硫酸の
,C01B  17/84,・・・・,鉛室法
,C01B  17/86,・・・・,塔式法
,C01B  17/88,・・,硫酸の濃縮
,C01B  17/90,・・,分離；精製
,C01B  17/92,・・・,アシッドタールまたは同等物からの回収
,C01B  17/94,・・・,ニトロ化用酸からの回収
,C01B  17/96,・,硫酸塩の一般的製造方法（特に個々の硫酸塩は陽イオンにしたがいＣ０１Ｂ～Ｃ０１Ｇ中の該当するグループ参照）
,C01B  17/98,・,いおうと酸素を含有する他の化合物（過硫酸Ｃ０１Ｂ１５／０６；過硫酸塩Ｃ０１Ｂ１５／０８）
,C01B  19/00,,セレン；テルル；それらの化合物
,C01B  19/02,・,元素状セレンまたはテルル［３］
,C01B  19/04,・,二元化合物［３］
,C01B  21/00,,窒素；その化合物
,C01B  21/02,・,窒素の製造（アンモニアの分解による　Ｃ０１Ｂ３／０４）
,C01B  21/04,・,窒素の精製または分離（液化によるものＦ２５Ｊ）
,C01B  21/06,・,窒素と金属，けい素またはほう素とからなる二元化合物
,C01B  21/064,・・,ほう素との化合物［３］
,C01B  21/068,・・,けい素との化合物［３］
,C01B  21/072,・・,アルミニウムとの化合物［３］
,C01B  21/076,・・,チタンまたはジルコニウムとの化合物［３］
,C01B  21/08,・,アジ化水素；アジド；ハロゲン化アジド
,C01B  21/082,・,窒素と非金属とを含む化合物（Ｃ０１Ｂ２１／０６，Ｃ０１Ｂ２１／０８が優先）［３］
,C01B  21/083,・・,１またはそれ以上のハロゲン原子を含むもの［３］
,C01B  21/084,・・・,１またはそれ以上の酸素原子をさらに含むもの，例．ハロゲン化ニトロシル［３］
,C01B  21/086,・・,１またはそれ以上のいおう原子を含むもの［３］
,C01B  21/087,・・,１またはそれ以上の水素原子を含むもの［３］
,C01B  21/088,・・・,１またはそれ以上のハロゲン原子をさらに含むもの［３］
,C01B  21/09,・・・・,ハロゲノアミン，例．クロラミン［３］
,C01B  21/092,・・・,１またはそれ以上の金属原子をさらに含むもの［３］
,C01B  21/093,・・・,１またはそれ以上のいおう原子をさらに含むもの［３］
,C01B  21/094,・・・・,酸基を含むニトロシル［３］
,C01B  21/096,・・・・,アミド硫酸；その塩［３］
,C01B  21/097,・・,りん原子を含むもの［３］
,C01B  21/098,・・・,窒化二ハロゲン化りん；その重合体［３］
,C01B  21/12,・・,カルバミン酸；その塩
,C01B  21/14,・・,ヒドロキシルアミン；その塩
,C01B  21/16,・・,ヒドラジン；その塩
,C01B  21/20,・,窒素酸化物；窒素のオキシ酸；その塩
,C01B  21/22,・・,亜酸化窒素（Ｎ↓２Ｏ）
,C01B  21/24,・・,酸化窒素（ＮＯ）
,C01B  21/26,・・・,アンモニアの接触的酸化による製造
,C01B  21/28,・・・・,装置
,C01B  21/30,・・・,窒素の酸化による製造
,C01B  21/32,・・・・,装置
,C01B  21/34,・・,三二酸化窒素（Ｎ↓２Ｏ↓３）
,C01B  21/36,・・,二酸化窒素（ＮＯ↓２，Ｎ↓２Ｏ↓４）（Ｃ０１Ｂ２１／２６，Ｃ０１Ｂ２１／３０が優先）
,C01B  21/38,・・,硝酸
,C01B  21/40,・・・,窒素酸化物の吸収による製造
,C01B  21/42,・・・,硝酸塩からの製造
,C01B  21/44,・・・,濃縮
,C01B  21/46,・・・,精製；分離
,C01B  21/48,・・,硝酸塩の一般的製造方法（特に個々の硝酸塩は陽イオンにしたがいＣ０１Ｂ～Ｃ０１Ｇ中の該当するグループ参照）
,C01B  21/50,・・,亜硝酸；その塩
,C01B  23/00,,希ガス；その化合物（液化Ｆ２５Ｊ）
,C01B  25/00,,りん；その化合物（Ｃ０１Ｂ２１／００，Ｃ０１Ｂ２３／００が優先；過りん酸塩Ｃ０１Ｂ１５／１６）［３］
,C01B  25/01,・,りんまたはりん化合物を得るためのりん酸塩鉱石または他のりん酸塩原料の処理［２］
,C01B  25/02,・,りんの製造
,C01B  25/023,・・,赤りんの［２］
,C01B  25/027,・・,黄りんの［２］
,C01B  25/04,・,りんの精製
,C01B  25/043,・・,赤りんの［２］
,C01B  25/047,・・,黄りんの［２］
,C01B  25/06,・,りん化水素
,C01B  25/08,・,その他のりん化物
,C01B  25/10,・,りんのハロゲン化物またはオキシハロゲン化物［２］
,C01B  25/12,・,りんの酸化物
,C01B  25/14,・,りんのいおう，セレンまたはテルル化合物
,C01B  25/16,・,りんのオキシ酸；その塩（ペルオキシ酸またはその塩Ｃ０１Ｂ１５／００）
,C01B  25/163,・・,亜りん酸；その塩［２］
,C01B  25/165,・・,次亜りん酸；その塩［２］
,C01B  25/168,・・,ピロ亜りん酸；その塩［２］
,C01B  25/18,・・,りん酸
,C01B  25/20,・・・,元素状りんまたは無水りん酸からの製造
,C01B  25/22,・・・,りん酸塩含有原料を酸と反応させることによる製造，例．湿式法
,C01B  25/222,・・・・,硫酸，主として硫酸より成る酸の混合物またはその場で硫酸を生成させる混合化合物，例．二酸化いおう，水および酸素の混合物，によるもの［３］
,C01B  25/223,・・・・・,硫酸カルシウムのただ一つの形だけが生成されるもの［３］
,C01B  25/225,・・・・・・,二水化物法［３］
,C01B  25/226,・・・・・・,半水化物法［３］
,C01B  25/228,・・・・・,硫酸カルシウムの一形態が生成しついで他の形態に転化するもの［３］
,C01B  25/229,・・・・・・,半水化物―二水化物法［３］
,C01B  25/231,・・・・・・,二水化物―半水化物法［３］
,C01B  25/232,・・・・・,りん酸塩含有原料を濃硫酸と反応させひきつづき得られたものを浸出することによる製造，例．クリンカー法［３］
,C01B  25/234,・・・,精製；安定化；濃縮（製造を伴う精製Ｃ０１Ｂ２５／２２；液－液抽出を含む製造Ｃ０１Ｂ２５／４６）［３］
,C01B  25/235,・・・・,浄化；溶解不純物の後沈（Ｐｏｓｔｐｒｅｃｉｐｉｔａｔｉｏｎ）を防止するための安定化［３］
,C01B  25/237,・・・・,不純物の選択的除去［３］
,C01B  25/238,・・・・・,陽イオン不純物［３］
,C01B  25/24,・・,縮合りん酸
,C01B  25/26,・・,りん酸塩（過りん酸塩Ｃ０１Ｂ１５／１６）
,C01B  25/28,・・・,りん酸アンモニウム
,C01B  25/30,・・・,アルカリ金属りん酸塩
,C01B  25/32,・・・,マグネシウム，カルシウム，ストロンチウムまたはバリウムのりん酸塩
,C01B  25/34,・・・・,りん酸マグネシウム
,C01B  25/36,・・・,りん酸アルミニウム
,C01B  25/37,・・・,重金属のりん酸塩［２］
,C01B  25/38,・・・,縮合りん酸塩
,C01B  25/39,・・・・,アルカリ金属の［３］
,C01B  25/40,・・・・,ポリりん酸塩［２］
,C01B  25/41,・・・・・,アルカリ金属の［３］
,C01B  25/42,・・・・,ピロりん酸塩［２］
,C01B  25/44,・・・・,メタりん酸塩［２］
,C01B  25/445,・・・・・,アルカリ金属の［３］
,C01B  25/45,・・・,複数の金属，または金属とアンモニウムを含むもの［３］
,C01B  25/455,・・・,ハロゲンを含むもの［３］
,C01B  25/46,・・,液－液抽出を含む製造［２］
,C01B  32/00,,炭素；その化合物（Ｃ０１Ｂ２１／００，Ｃ０１Ｂ２３／００が優先；過炭酸塩Ｃ０１Ｂ１５／１０；カーボンブラックＣ０９Ｃ１／４８）［２０１７．０１］
,C01B  32/05,・,炭素の製造または精製でグループＣ０１Ｂ３２／１５，Ｃ０１Ｂ３２／２０，Ｃ０１Ｂ３２／２５，Ｃ０１Ｂ３２／３０に包含されないもの［２０１７．０１］
,C01B  32/10,・,ふっ化炭素，例．［ＣＦ］ｎまたは［Ｃ２Ｆ］ｎ（その黒鉛層間化合物Ｃ０１Ｂ３２／２２）［２０１７．０１］
,C01B  32/15,・,ナノサイズの炭素物質［２０１７．０１］
,C01B  32/152,・・,フラーレン［２０１７．０１］
,C01B  32/154,・・・,製造［２０１７．０１］
,C01B  32/156,・・・,後処理［２０１７．０１］
,C01B  32/158,・・,カーボンナノチューブ［２０１７．０１］
,C01B  32/159,・・・,シングルウォール［２０１７．０１］
,C01B  32/16,・・・,製造［２０１７．０１］
,C01B  32/162,・・・・,触媒に特徴のあるもの［２０１７．０１］
,C01B  32/164,・・・・,連続プロセスを含むもの［２０１７．０１］
,C01B  32/166,・・・・,液相中［２０１７．０１］
,C01B  32/168,・・・,後処理［２０１７．０１］
,C01B  32/17,・・・・,精製［２０１７．０１］
,C01B  32/172,・・・・,選別［２０１７．０１］
,C01B  32/174,・・・・,誘導体化；可溶化；溶媒への分散［２０１７．０１］
,C01B  32/176,・・・・,切断［２０１７．０１］
,C01B  32/178,・・・・,開口；充填［２０１７．０１］
,C01B  32/18,・・,ナノオニオン；ナノスクロール；ナノホーン；ナノコーン；ナノウォール［２０１７．０１］
,C01B  32/182,・・,グラフェン［２０１７．０１］
,C01B  32/184,・・・,製造［２０１７．０１］
,C01B  32/186,・・・・,化学蒸着［ＣＶＤ］によるもの［２０１７．０１］
,C01B  32/188,・・・・,エピタキシャル成長によるもの［２０１７．０１］
,C01B  32/19,・・・・,剥離によるもの［２０１７．０１］
,C01B  32/192,・・・・・,黒鉛酸化物から出発するもの［２０１７．０１］
,C01B  32/194,・・・,後処理［２０１７．０１］
,C01B  32/196,・・・・,精製［２０１７．０１］
,C01B  32/198,・・・,酸化グラフェン［２０１７．０１］
,C01B  32/20,・,黒鉛［２０１７．０１］
