インデキシングフラグ,記号,ドット,タイトル
,,,絹繊維の採取　７／００
,,,その他の処理　９／００
,D01B   1/00,,植物材料，例．種，葉，茎，からの繊維の機械的分離
,D01B   1/02,・,種からの植物繊維の分離，例．綿
,D01B   1/04,・・,繰綿
,D01B   1/06,・・・,ローラ式繰綿機，例．マッカーシー形
,D01B   1/08,・・・,のこ歯状繰綿機
,D01B   1/10,・,茎または葉からの植物繊維の分離
,D01B   1/12,・・,脱種
,D01B   1/14,・・,砕茎または製繊，例．亜麻の；はく皮
,D01B   1/16,・・・,繊維を含む材料を砕茎または解繊するための押し曲げ装置をもつもの（破砕ローラＤ０１Ｂ１／２２）
,D01B   1/18,・・・,打砕装置をもつもの
,D01B   1/20,・・・,削摩装置をもつもの
,D01B   1/22,・・・,破砕または砕茎用ローラまたはプレートをもつもの
,D01B   1/24,・・・,歯状または他の尖状装置をもつもの
,D01B   1/26,・・・,繊維束と平行な軸のまわりを回転するビータをもつもの
,D01B   1/28,・・・,繊維束と垂直な軸のまわりを回転するビータをもつもの
,D01B   1/30,・・・,機械の細部
,D01B   1/32,・・・・,供給装置
,D01B   1/34,・・・・,処理中の繊維または繊維を含む材料をは持する装置
,D01B   1/36,・・・・・,運搬装置，例．移動する帯またはロープ
,D01B   1/38,・・・・,繰り出しまたは送り出し装置
,D01B   1/40,・・・・,非繊維状物質の除去装置
,D01B   1/42,・・・・・,流体を使用するもの
,D01B   1/44,・・・・,フレーム；ケーシング；カバリング；グリッド
,D01B   1/46,・・・・,駆動装置
,D01B   1/48,・・,浸水繊維の乾燥
,D01B   1/50,・,他の特殊な植物材料からの繊維の採取，例．泥炭，さるおがせもどき，からの採取
,D01B   3/00,,動物繊維からの不純物の機械的除去（動物繊維再生のためのボロ毛くずの炭化Ｄ０１Ｃ５／００）［２］
,D01B   3/02,・,バー取り機械または装置（梳綿機または牽伸機械の一部を構成しまたはそれらの機械と完全に組み合わさったバー取り装置，例．バー破砕用ローラＤ０１Ｇ）
,D01B   3/04,・,バラ毛繊維の洗浄または精練用機械または装置
,D01B   3/06,・・,毛または液体が循還運動するもの
,D01B   3/08,・・,毛または液体が長手方向に運動するもの
,D01B   3/10,・・,機械または装置の細部
,D01B   5/00,,ハックリングまたは櫛梳（せっそ）機械（手動櫛梳具Ｄ０１Ｇ３３／００）
,D01B   5/02,・,細部
,D01B   5/04,・・,機械からまたは機械への材料の供給，は持または運搬装置
,D01B   5/06,・・,櫛梳装置の構造，すえ付け，操作に特徴あるもの
,D01B   5/08,・・,短繊維またはくずの除去または処理装置
,D01B   5/10,・・,刺針または他の仕上げ装置
,D01B   5/12,・・,フレーム；ケーシング；カバリング
,D01B   5/14,・・,駆動装置
,D01B   5/16,・・,じんあいまたは類似物の制限または除去装置
,D01B   7/00,,絹繊維またはフィラメントの採取
,D01B   7/02,・,繭の洗浄または選別
,D01B   7/04,・,繰り糸
,D01B   7/06,・,繰り糸に不適当な繭またはその一部からの絹の採取（絹の不純物の除去Ｄ０１Ｃ３／０２）
,D01B   9/00,,繊維またはフィラメントを採取するための天然繊維状またはフィラメント状材料のその他の機械的処理
,D01C,,紡績用繊維またはフィラメントを採取するための天然の繊維状またはフィラメント状材料の化学的または生物学的処理；動物繊維のためのボロ毛くずの炭化
,＜注＞,,クラスＤ０１のタイトルに続く注に注意すること。
,D01C   1/00,,植物材料の処理
,D01C   1/02,・,じん皮繊維の採取を化学的方法によって行うもの
,D01C   1/04,・,細菌使用の浸水処理
,D01C   3/00,,動物材料の処理，例．化学的洗毛（ラノリンまたは羊毛ワックスの再生Ｃ１１Ｂ１１／００）
,D01C   3/02,・,絹の不純物の除去
,D01C   5/00,,動物繊維再生のためのボロ毛くずの炭化（動物繊維のより糸または織物からの植物性不純物の化学的除去Ｄ０６Ｍ）
,D01D,,人造のフィラメント，より糸，繊維，剛毛あるいはリボンの製造における機械的な方法または装置（金属線材の加工または処理Ｂ２１Ｆ；軟化したガラス，鉱物またはスラグの繊維またはフィラメントＣ０３Ｂ３７／００）
,＜注＞,,（１）クラスＤ０１のタイトルに続く注に注意すること。
,,,（２）炭素フィラメントの製造に特に適合した装置はグループＤ０１Ｆ９／１２に分類される。［５］
,＜索引＞,,フィラメント形成材料の機械的処理　１／００
,,,人造繊維の製造
,,,方法　５／００
,,,紡糸口金パック；フィラメントの形成；紡糸後の製品の　引取り　４／００；５／００；７／００
,,,製造中の物理的処理　１０／００
,,,その他の操作　１１／００
,,,完成された機械；細部　１３／００；４／０２，７／００，１１／０４
,D01D   1/00,,フィラメント形成材料あるいはその類似材料の処理（プラスチックまたは可塑状態の物質の加工一般Ｂ２９）
,D01D   1/02,・,紡糸液の調製
,D01D   1/04,・,フィラメント形成物質の溶融
,D01D   1/06,・,紡糸ヘッドへの液体の供給（ポンプの構造Ｆ０４）
,D01D   1/09,・・,圧力，温度または供給速度の調整［３］
,D01D   1/10,・,紡糸液または溶融物のろ過または脱泡
,D01D   4/00,,紡糸口金パック；その清掃（Ｄ０１Ｄ５／２４，Ｄ０１Ｄ５／２５３，Ｄ０１Ｄ５／２８が優先）［３］
,D01D   4/02,・,紡糸口金（そのための合金Ｃ２２Ｃ）［３］
,D01D   4/04,・,紡糸口金パックの紡糸口金またはその他の部分の清掃（清掃一般Ｂ０８Ｂ）［３］
,D01D   4/06,・,紡糸液または溶融物の紡糸ノズルへの分配［３］
,D01D   4/08,・,紡糸口金パックの紡糸口金またはその他の部分の保持［３］
,D01D   5/00,,フィラメント，より糸あるいはその類似物の形成
,D01D   5/02,・,形成の開始
,D01D   5/04,・,乾式紡糸方法
,D01D   5/06,・,湿式紡糸方法
,D01D   5/08,・,溶融紡糸方法
,D01D   5/084,・・,紡糸口金を出るフィラメント，より糸またはその類似物の加熱［３］
,D01D   5/088,・・,紡糸口金を出るフィラメント，より糸またはその類似物の冷却［３］
,D01D   5/092,・・・,冷却筒内での冷却［３］
,D01D   5/096,・・,紡糸口金を出るフィラメント，より糸またはその類似物の水分調整，オイリング［３］
,D01D   5/098,・・,同時に延伸を行なうもの［４］
,D01D   5/10,・・,有機材料の使用
,D01D   5/11,・,フラッシュ紡糸［３］
,D01D   5/12,・,緊張紡糸方法（延伸による仕上げ加工Ｄ０２Ｊ１／２２）
,D01D   5/14,・・,液体の流れを緊張手段として用いるもの
,D01D   5/16,・・,ローラまたはそのような機械的装置，例．スナッピングピン，を使用するもの
,D01D   5/18,・,回転紡糸口金によるもの
,D01D   5/20,・,長さ方向にデニール変化をもつものの形成
,D01D   5/22,・,巻縮構造をもつものの形成；羊毛状の特殊な構造をもつものの形成（形成後におけるフィラメントまたはより糸に対する巻縮効果の付与Ｄ０２Ｇ１／００）
,D01D   5/23,・・,紡糸口金を出るフィラメント，より糸またはその類似物の不均斉的な冷却によるもの［３］
,D01D   5/24,・,中空構造をもつものの形成；そのための紡糸口金パック（Ｄ０１Ｄ５／３８が優先；プラスチック材料からのチューブの製造Ｂ２９Ｄ；中空フィラメント製造用添加剤の添加Ｄ０１Ｆ１／０８）［３］
,D01D   5/247,・・,非連続中空構造または微細孔構造［３］
,D01D   5/253,・,非円形断面をもつものの形成；そのための紡糸口金パック（Ｄ０１Ｄ５／３８が優先）［３］
,D01D   5/26,・,ステープルファイバの形成（フラッシュ紡糸によるものＤ０１Ｄ５／１１）
,D01D   5/28,・,紡糸段階における異なった紡糸液または溶融物の混合；そのための紡糸口金パック
,D01D   5/30,・・,複合フィラメント；そのための紡糸口金パック［３］
,D01D   5/32,・・・,交互層状構造；そのための紡糸口金パック［３］
,D01D   5/34,・・・,鞘芯構造；そのための紡糸口金パック［３］
,D01D   5/36,・・・,マトリックス構造；そのための紡糸口金パック［３］
,D01D   5/38,・,重合中のフィラメント，より糸またはその類似物の形成［３］
,D01D   5/40,・,フィラメントを形成しうる重合体の分散液または溶液に対する剪断力の適用によるもの，例．かくはんによるもの［３］
,D01D   5/42,・,フィルムを細巾リボンまたはフィラメントに切断することによるものまたはフィルムをフィブリル化することによるもの［３］
,D01D   7/00,,紡糸後の製品の引取り（よりを与えることによる紡糸後の製品の引取りＤ０１Ｈ）
,D01D   7/02,・,遠心紡糸ポット内での引取り［３］
,D01D  10/00,,人造のフィラメントまたはその類似物の製造中，すなわちフィラメント引取り前の連続製造工程中の物理的処理（仕上げＤ０２Ｊ）［４］
,D01D  10/02,・,熱処理（仕上げのための加熱Ｄ０２Ｊ１３／００）［４］
,D01D  10/04,・,その処理中のフィラメントまたはその類似物の保持［４］
,D01D  10/06,・,洗浄または乾燥［４］
,D01D  11/00,,製造のその他の特徴
,D01D  11/02,・,より糸またはフィラメントの相互間隔をあけるために糸束を開繊するもの
,D01D  11/04,・,固定ガイド
,D01D  11/06,・,紡糸液または溶融物による被覆
,D01D  13/00,,人造のより糸を製造するための完成された機械
,D01D  13/02,・,それに関連した機械の要素
,D01F,,人造のフィラメント，より糸，繊維，剛毛またはリボンの製造において化学的な特徴をもつもの；炭素フィラメントの製造に特に適合した装置［２］
,＜注＞,,クラスＤ０１のタイトルに続く注に注意すること。
,＜索引＞,,一般的な方法　１／００
,,,フィラメントとその製造
,,,セルロースからまたはその誘導体から；蛋白質から　２／００；４／００
,,,合成樹脂から　６／００
,,,他の材料から　９／００
,,,多成分フィラメント　８／００
,,,後処理；原料の回収　１１／００；１３／００
,D01F   1/00,,人造フィラメントあるいはその類似物の製造の一般的な方法
,D01F   1/02,・,紡糸液，または溶融物への物質の添加（ビスコースへの物質の添加Ｄ０１Ｆ２／０８）
,D01F   1/04,・・,顔料
,D01F   1/06,・・,染料
,D01F   1/07,・・,防火性または防炎性フィラメント製造用［４］
,D01F   1/08,・・,中空フィラメント製造用
,D01F   1/09,・・,導電性または制電性フィラメント製造用［４］
,D01F   1/10,・・,変性特性のための他の添加剤［２］
,D01F   2/00,,セルロースまたはセルロース誘導体の単一成分人造フィラメントまたはその類似物；その製造［２］
,D01F   2/02,・,セルローズの酸，塩基，または塩の溶液からのもの［２］
,D01F   2/04,・・,銅アンモニウム溶液からのもの［２］
,D01F   2/06,・,ビスコースからのもの（アルカリセルロースの調製Ｃ０８Ｂ）［２］
,D01F   2/08,・・,紡糸液または浴の調合（セルロースザンテートの調製または溶解Ｃ０８Ｂ）［２］
,D01F   2/10,・・・,紡糸液または紡糸浴に混合していづれにおいても同じ程度に効果を生じる物質の添加［２］
,D01F   2/12,・・・,紡糸液へのつや消し剤の添加［２］
,D01F   2/14,・・・・,顔料の添加［２］
,D01F   2/16,・・・,紡糸液への染料の添加［２］
,D01F   2/18,・・・,紡糸液への熟成に影響を与える物質の添加［２］
,D01F   2/20,・・・,中空糸を製造するためのもの［２］
,D01F   2/22,・・,乾式紡糸工程によるもの［２］
,D01F   2/24,・,セルロース誘導体からなるもの［２］
,D01F   2/26,・・,ニトロセルロースからのもの［２］
,D01F   2/28,・・,有機セルロースエステルまたはエーテル，例．セルロースアセテート，からのもの［２］
,D01F   2/30,・・・,乾式紡糸工程によるもの［２］
,D01F   4/00,,蛋白質の単一成分人造フィラメントまたはその類似物；その製造［２］
,D01F   4/02,・,フイブロインからのもの［２］
,D01F   4/04,・,カゼインからのもの［２］
,D01F   4/06,・,グロブリン，例．落花生蛋白質，からのもの［２］
,D01F   6/00,,合成重合体の単一成分人造フィラメントまたはその類似物；その製造［２］
,＜注＞,,このグループにおいては，主成分を決めるパーセントはモルパーセントで表わされている。［８］
,D01F   6/02,・,不飽和化合物の単一付加重合生成物からのもの［２］
,D01F   6/04,・・,ポリオレフィンからのもの［２］
,D01F   6/06,・・・,ポリプロピレンからのもの［２］
,D01F   6/08,・・,ハロゲン化炭化水素の重合体からのもの［２］
,D01F   6/10,・・・,ポリ塩化ビニルまたはポリ塩化ビニリデンからのもの［２］
,D01F   6/12,・・・,ふっ化炭化水素の重合体からのもの［２］
,D01F   6/14,・・,不飽和アルコールの重合体，例．ポリビニルアルコール，またはそのアセタールまたはケタールの重合体からのもの［２］
,D01F   6/16,・・,不飽和カルボン酸または不飽和有機エステルの重合体，例．ポリアクリル酸エステル，ポリビニルアセテート，からのもの［２］
,D01F   6/18,・・,不飽和ニトリルの重合体，例．ポリアクリロニトリル，ポリビニリデンシアニド，からのもの［２］
,D01F   6/20,・・,側鎖に１個の炭素間二重結合をもつ環状化合物の重合体からのもの［２］
,D01F   6/22,・・・,ポリスチレンからのもの［２］
,D01F   6/24,・・,二個以上の炭素間二重結合をもつ脂肪族化合物の重合体からのもの［２］
,D01F   6/26,・・,他の重合体からのもの［２］
,D01F   6/28,・,不飽和化合物の共付加重合生成物からのもの［２］
,D01F   6/30,・・,主成分がオレフィンからなるもの［２］
,D01F   6/32,・・,主成分がハロゲン化炭化水素からなるもの［２］
,D01F   6/34,・・,主成分が不飽和アルコール，アセタールまたはケタールからなるもの［２］
,D01F   6/36,・・,主成分が不飽和カルボン酸または不飽和有機エステルからなるもの［２］
,D01F   6/38,・・,主成分が不飽和ニトリルからなるもの［２］
,D01F   6/40,・・,変性アクリル繊維，すなわち，３５～８５％のアクリロニトリル，を含むもの［２］
,D01F   6/42,・・,主成分が側鎖に１個の炭素間二重結合をもつ環状化合物からなるもの［２］
,D01F   6/44,・,付加重合体を主成分とした他の重合体または低分子量化合物との混合物からのもの［２］
,D01F   6/46,・・,ポリオレフィンを主成分とするもの［２］
,D01F   6/48,・・,ハロゲン化炭化水素の重合体を主成分とするもの［２］
,D01F   6/50,・・,ポリアルコール，ポリアセタールまたはポリケタールを主成分とするもの［２］
,D01F   6/52,・・,不飽和カルボン酸または不飽和エステルの重合体を主成分とするもの［２］
,D01F   6/54,・・,不飽和ニトリルの重合体を主成分とするもの［２］
,D01F   6/56,・・,側鎖に１個の炭素間二重結合をもつ環状化合物の重合体を主成分とするもの［２］
,D01F   6/58,・,単一縮重合生成物からのもの［２］
,D01F   6/60,・・,ポリアミドからのもの（ポリアミノ酸またはポリペプチドからのものＤ０１Ｆ６／６８）［２］
,D01F   6/62,・・,ポリエステルからのもの［２］
,D01F   6/64,・・・,ポリカーボネートからのもの［２］
,D01F   6/66,・・,ポリエーテルからのもの［２］
,D01F   6/68,・・,ポリアミノ酸またはポリペプチドからのもの［２］
,D01F   6/70,・・,ポリウレタンからのもの［２］
,D01F   6/72,・・,ポリ尿素からのもの［２］
,D01F   6/74,・・,環状化合物の縮重合物からのもの，例．ポリイミド，ポリベンツイミダゾール［２］
,D01F   6/76,・・,他の縮重合生成物からのもの［２］
,D01F   6/78,・,共縮重合生成物からのもの［２］
,D01F   6/80,・・,コポリアミドからのもの［２］
,D01F   6/82,・・,ポリエステルアミドまたはポリエーテルアミドからのもの［２］
,D01F   6/84,・・,コポリエステルからのもの［２］
,D01F   6/86,・・,ポリエーテルエステルからのもの［２］
,D01F   6/88,・,縮重合生成物を主成分とした他の重合体または低分子量化合物との混合物からのもの［２］
,D01F   6/90,・・,ポリアミドを主成分とするもの［２］
,D01F   6/92,・・,ポリエステルを主成分とするもの［２］
,D01F   6/94,・・,他の縮重合生成物を主成分とするもの［２］
,D01F   6/96,・,他の合成重合体からのもの［２］
,D01F   8/00,,複合，すなわち二または多成分の，人造フィラメントまたはその類似物；その製造［２］
,D01F   8/02,・,セルロース，セルロース誘導体または蛋白質からのもの［２］
,D01F   8/04,・,合成重合体からのもの［２］
,D01F   8/06,・・,ポリオレフィンを少なくとも一成分とするもの［２］
,D01F   8/08,・・,ポリアクリロニトリルを少なくとも一成分とするもの［２］
,D01F   8/10,・・,他の不飽和化合物の付加重合生成物を少なくとも一成分とするもの［２］
,D01F   8/12,・・,ポリアミドを少なくとも一成分とするもの［２］
,D01F   8/14,・・,ポリエステルを少なくとも一成分とするもの［２］
,D01F   8/16,・・,炭素―炭素不飽和結合のみが関与する反応以外の反応によって得られる高分子化合物を少なくとも１つ有するもの［２］
,D01F   8/18,・,他の物質からのもの［２］
,D01F   9/00,,他の物質の人造フィラメントまたはその類似物；その製造；炭素フィラメントの製造に特に適合した装置［５］
,D01F   9/02,・,ゴムと酸または酸無水物，例．二酸化硫黄，との反応生成物のもの
,D01F   9/04,・,アルギン酸のもの
,D01F   9/08,・,無機材料のもの（金属線材の加工または処理Ｂ２１Ｆ；軟質化ガラス，鉱物またはスラグからのものＣ０３Ｂ３７／００；白熱体Ｆ２１Ｈ，Ｈ０１Ｋ１／０２，Ｈ０１Ｋ３／０２）［２］
,D01F   9/10,・・,有機物質の分解によるもの（Ｄ０１Ｆ９／１２が優先）［２］
,D01F   9/12,・・,炭素フィラメント；その製造に特に適合した装置［２，５］
,D01F   9/127,・・・,炭化水素ガスまたは蒸気類の熱分解によるもの［５］
,D01F   9/133,・・・・,そのための装置［５］
,D01F   9/14,・・・,有機フィラメントの分解によるもの［２，５］
,D01F   9/145,・・・・,ピッチまたは蒸留残留物まらのもの［５］
,D01F   9/15,・・・・・,石炭系ピッチからのもの［５］
,D01F   9/155,・・・・・,石油系ピッチからのもの［５］
,D01F   9/16,・・・・,植物性の産物またはその誘導体，例．セルロースアセテート，からのもの（Ｄ０１Ｆ９／１８が優先）［２，５］
,D01F   9/17,・・・・・,リグニンからのもの［５］
,D01F   9/18,・・・・,蛋白質，例．羊毛，からのもの［２］
,D01F   9/20,・・・・,付加重合，重縮合または重合生成物からのもの（Ｄ０１Ｆ９／１４５，Ｄ０１Ｆ９／１６，Ｄ０１Ｆ９／１８が優先）［２，５］
,D01F   9/21,・・・・・,炭素―炭素不飽和結合のみの反応によって得られる高分子化合物からのもの［５］
,D01F   9/22,・・・・・・,ポリアクリロニトリル類からのもの［２，５］
,D01F   9/24,・・・・・,炭素―炭素不飽和結合のみの反応以外の方法で得られる高分子化合物からのもの［５］
,D01F   9/26,・・・・・・,ポリエステルからのもの［５］
,D01F   9/28,・・・・・・,ポリアミドからのもの［５］
,D01F   9/30,・・・・・・・,芳香族ポリアミドからのもの［５］
,D01F   9/32,・・・・,そのための装置［５］
,D01F  11/00,,製造中における人造フィラメントまたは類似物の化学的後処理（仕上げＤ０６Ｍ）［２］
,D01F  11/02,・,セルロース，セルロース誘導体または蛋白質についてのもの［２］
,D01F  11/04,・,合成重合体についてのもの［２］
,D01F  11/06,・・,炭素―炭素不飽和結合のみが関与する反応によって得られる高分子化合物についてのもの［２］
,D01F  11/08,・・,炭素―炭素不飽和結合のみが関与する反応以外の反応によって得られる高分子化合物についてのもの［２］
,D01F  11/10,・,炭素についてのもの［２］
,D01F  11/12,・・,無機物質によるもの［５］
,D01F  11/14,・・,有機化合物，例．高分子化合物，によるもの［５］
,D01F  11/16,・・,物理化学的方法によるもの［５］
,D01F  13/00,,人造フィラメントまたは類似物の製造における出発物質，廃物または溶媒の回収［２］
,D01F  13/02,・,セルロース，セルロース誘導体または蛋白質についてのもの［２］
,D01F  13/04,・,合成重合体についてのもの［２］
,D01G,,繊維の準備処理，例．紡績用（ラップ，ウェブ，スライバまたは粗糸の巻き取りまたは巻き戻し，集束または案内一般，スライバまたは粗糸のケンス，スライバーまたは粗糸のケンスへの貯蔵Ｂ６５Ｈ；製紙用繊維の前処理Ｄ２１）
,＜注＞,,クラスＤ０１のタイトルに続く注に注意すること。
,＜索引＞,,梳綿前の操作；そのための機械
,,,繊維の開俵；繊維の分離と選別；開綿または浄綿　７／００；５／００；９／００
,,,連続フィラメントの切断；繊維の解離　１／００；３／００
,,,繊維含有物を分解することによる繊維の再使用　１１／００
,,,繊維の混合または非繊維材料を含む繊維の混合　１３／００
,,,梳綿またはそれ以後の操作；そのための機械
,,,機械への繊維の供給または輸送；ラップの形成；ラップの巻き取り；繊維の潤滑　２３／００；２５／００；２７／００；２９／００
,,,梳綿およびきょう雑物の破砕，精梳綿　１５／００，１９／００
,,,絹ドレッシング；オーカムの処理　１７／００；３５／００
,,,連続工程のための機械または工程の組み合せ　２１／００
,,,警報または安全装置　３１／００
,,,繊維処理用手工具　３３／００
,,,他の繊維準備処理　９９／００
,D01G   1/00,,連続フィラメントまたは長繊維の切断，例．ステープル化（牽伸装置，ねん糸装置Ｄ０１Ｈ）
,D01G   1/02,・,ストランド状にはされないステープルファイバの製造
,D01G   1/04,・・,切断刃によるもの
,D01G   1/06,・,トウをスライバまたは糸に変えるもの，例．直紡
,D01G   1/08,・・,延伸または摩耗によるもの
,D01G   1/10,・・,切断刃によるもの
,D01G   3/00,,繊維の粗面化
,D01G   5/00,,繊維の分離，例．選別（絹ドレッシングマシンにおける長さの異なる繊維の分離Ｄ０１Ｇ１７／００；精梳綿機における長さの異なる繊維の分離Ｄ０１Ｇ１９／００）
,D01G   7/00,,繊維の開俵
,D01G   7/02,・,ビータによるもの
,D01G   7/04,・,歯によるもの
,D01G   7/06,・,装置または機械の細部
,D01G   7/08,・・,かき取り部への原料俵供給装置
,D01G   7/10,・・,繊維の搬出装置
,D01G   7/12,・・,フレーム；ケーシング；カバリング；グリッド
,D01G   7/14,・・,駆動装置
,D01G   9/00,,開綿または浄綿，例．打綿（亜麻または類似繊維の打解Ｄ０１Ｂ；抄紙機におけるセルロースワッディングの製造Ｄ２１Ｆ１１／１４）
,D01G   9/02,・,動く容器内でかき混ぜるもの
,D01G   9/04,・,ビータによるもの
,D01G   9/06,・,歯によるもの
,D01G   9/08,・,空気吸引装置によるもの
,D01G   9/10,・・,有孔シリンダを用いるもの（ラップ形成のための有孔吸引シリンダＤ０１Ｇ２５／００）
,D01G   9/12,・,開綿または浄綿機の組み合わせ
,D01G   9/14,・,機械または装置の細部
,D01G   9/16,・・,供給装置（繊維処理機械に一般的に適用される繊維供給装置Ｄ０１Ｇ２３／００）
,D01G   9/18,・・,繊維搬出装置
,D01G   9/20,・・,フレーム；ケーシング；カバリング；グリッド
,D01G   9/22,・・,駆動装置
,D01G  11/00,,再使用繊維を得るための繊維含有物の分解
,D01G  11/02,・,再使用繊維を得るためのロープまたは類似繊維束の開束，解束，または梳束
,D01G  11/04,・,再使用繊維を得るための故繊維の開繊（製紙用故繊維の機械的処理Ｄ２１Ｂ）
,D01G  13/00,,繊維の混合，例．調合；非繊維材料と繊維の混合（他の操作と組み合わされた繊維の混合，例．解俵または開繊，は該当するグループを参照）
,D01G  15/00,,梳（そ）綿機またはその付属具；針布；梳綿機または他の準備処理機におけるきょう雑物の粉砕または除去装置（独立に操作されるバー取り装置または機械Ｄ０１Ｂ）
,D01G  15/02,・,梳綿機
,D01G  15/04,・・,メインシリンダに係合するウォーカーおよびストリッパまたは類似ローラをもつもの
,D01G  15/06,・・・,ガーネットマシン
,D01G  15/08,・・,メインシリンダと係合するフラットまたは類似具または無端針布帯をもつもの
,D01G  15/10,・・,欠くことができないまたは密接に関連した組み合わせにおいて他の装置をもつもの，例．牽伸装置（ウェブ分割装置Ｄ０１Ｇ１５／４６；きょう雑物の粉砕または除去装置Ｄ０１Ｇ１５／９４）
,D01G  15/12,・・,細部
,D01G  15/14,・・・,梳綿要素の構造的特徴，例．針布の取り付けを容易にするためのもの
,D01G  15/16,・・・・,メインシリンダ；ブレストシリンダ
,D01G  15/18,・・・・,ウォーカ；ストリッパ；ドッファ（ウェブ分割用ドッファＤ０１Ｇ１５／５４）
,D01G  15/20,・・・・,フィードローラ；テーカインローラ
,D01G  15/22,・・・・,ファンシ
,D01G  15/24,・・・・,フラットまたは類似具
,D01G  15/26,・・・,梳綿要素の配列または配置
,D01G  15/28,・・・,梳綿要素の支持装置；梳綿要素の関係位置調整装置
,D01G  15/30,・・・・,ベンド
,D01G  15/32,・・・,フレーム；ケーシング；カバリング
,D01G  15/34,・・・,グリッド；モートナイフ；アングルブレード
,D01G  15/36,・・・,駆動または速度制御装置
,D01G  15/38,・・・・,針布の研摩中に使用するためのもの
,D01G  15/40,・・・,供給装置（繊維処理機械に一般的に適用される繊維供給装置，例．ホッパフィーダ，Ｄ０１Ｇ２３／００）
,D01G  15/42,・・・・,ラップの供給
,D01G  15/44,・・・・,中間供給
,D01G  15/46,・・・,梳綿要素から繊維を取り出すためのドッファまたは類似装置；ウェブ分割装置；コンデンサ（ラップ形成装置Ｄ０１Ｇ２５／００；繊維の集束ガイドＤ０１Ｈ５／７２）
,D01G  15/48,・・・・,ストリッピングコーム
,D01G  15/50,・・・・,ストリッピングローラまたは類似具
,D01G  15/52,・・・・,ウェブ分割装置
,D01G  15/54,・・・・・,ウェブ分割用ドッファを使用するもの
,D01G  15/56,・・・・・,テープを使用するもの
,D01G  15/58,・・・・,スライバまたは類似物のもみ装置
,D01G  15/60,・・・・・,もみ革の構造
,D01G  15/62,・・・・,粗糸巻き取り装置（フィラメント状材料の巻き取り一般に適用できる巻き取り装置Ｂ６５Ｈ）
,D01G  15/64,・・・・,ドッファ装置またはウェブ分割装置と係合した牽伸または加ねん装置
,D01G  15/66,・・・・・,仮より装置をもつもの（仮より装置Ｄ０１Ｈ）
,D01G  15/68,・・・・・,本より装置をもつもの，例．精紡
,D01G  15/70,・・,製品に装飾または意匠効果を与えるための装置
,D01G  15/72,・・,落綿を再梳綿するための返還装置
,D01G  15/74,・・,空気吸引装置（じんあいおよび風綿を除去するための空気吸引装置Ｄ０１Ｇ１５／７６）
,D01G  15/76,・,梳綿面の掃除；梳綿部の清浄維持
,D01G  15/78,・・,フラットの掃除装置
,D01G  15/80,・・,シリンダまたはローラの掃除装置
,D01G  15/82,・・,じんあい，風綿または類似物の発生防止または除去装置
