インデキシングフラグ,記号,ドット,タイトル
,G01C  17/04,・・,指北用磁気要素，例．磁針
,G01C  17/06,・・・,磁気要素の懸架
,G01C  17/08,・・・・,浮体によるもの
,G01C  17/10,・・・,観測方向と北指示とを比較するもの
,G01C  17/12,・・・・,視準体によるもの，例．測量用コンパスのためのもの
,G01C  17/14,・・・・,参照マークによるもの，例．船舶用コンパスのためのもの
,G01C  17/16,・・・・,傾斜計によるもの，例．地層の俯角または層向決定用
,G01C  17/18,・・・,コンパスの支持または懸架，例．ジンバルによるもの，浮体によるもの
,G01C  17/20,・・・,コンパスの指針面または磁針の観察
,G01C  17/22,・・・・,投影によるもの
,G01C  17/24,・・・・,照明
,G01C  17/26,・・・・,最終指示器への伝達に電気的ピックオフ，例．フォトセル，を使用するもの
,G01C  17/28,・・,電気磁気コンパス（指北用磁気要素および電気的ピックオフをもつものＧ０１Ｃ１７／２６）
,G01C  17/30,・・・,地磁気誘導コンパス
,G01C  17/32,・・・,電子コンパス
,G01C  17/34,・,太陽コンパスまたは星コンパス
,G01C  17/36,・,マスターコンパスの読取りを遠隔指示するためのリピーター
,G01C  17/38,・,コンパスの試験，較正，または補償
,G01C  19/00,,ジャイロスコープ；振動状態の質量体を用いる回転感知装置；運動状態の質量体を持たない回転感知装置；ジャイロ効果を利用した角速度の測定［１，２０１３．０１］
,G01C  19/02,・,回転体ジャイロスコープ
,G01C  19/04,・・,細部
,G01C  19/06,・・・,回転体
,G01C  19/08,・・・・,電気的に駆動されるもの（Ｇ０１Ｃ１９／１４が優先）
,G01C  19/10,・・・・・,電力の供給
,G01C  19/12,・・・・,流体で駆動されるもの（Ｇ０１Ｃ１９／１４が優先）
,G01C  19/14,・・・・,流体回転体
,G01C  19/16,・・・,懸架手段；軸受
,G01C  19/18,・・・・,回転体をその回転軸に対し可動に支持したもの（Ｇ０１Ｃ１９／２０，Ｇ０１Ｃ１９／２４が優先）
,G01C  19/20,・・・・,液中
,G01C  19/22,・・・・,ねじれ支持
,G01C  19/24,・・・・,磁場または電場の使用
,G01C  19/26,・・・,鎖錠，すなわち可動部分の固定，例．輸送のためのもの
,G01C  19/28,・・・,ピックオフ，すなわち回転体の軸の変位の指示を取出すための装置
,G01C  19/30,・・・,起立装置，すなわち所望の位置に回転体の軸を戻す装置（垂直指示計器用Ｇ０１Ｃ１９／４６）
,G01C  19/32,・・・,回転体ジャイロスコープに特に適合する指示または記録手段
,G01C  19/34,・・,水平面内での方向指示用，例．定針儀
,G01C  19/36,・・・,磁気的手段によって指北作用をもたせるもの，例．ジャイロ磁気コンパス
,G01C  19/38,・・・,磁気的手段以外により指北作用をもたせるもの，例．地球の自転を利用したジャイロコンパス
,G01C  19/40,・・,マスターコンパスからの信号により制御するもの，すなわちリピーターコンパス
,G01C  19/42,・・,旋回率指示用；旋回率積分用
,G01C  19/44,・・,垂直方向指示用
,G01C  19/46,・・・,所望の位置へ回転体の軸を戻すための起立装置
,G01C  19/48,・・・・,電気的手段により作動するもの（Ｇ０１Ｃ１９／５４が優先）
,G01C  19/50,・・・・,機械的手段により作動するもの（Ｇ０１Ｃ１９／５４が優先）
,G01C  19/52,・・・・,流体手段により作動するもの（Ｇ０１Ｃ１９／５４が優先）
,G01C  19/54,・・・・,装置の運動による加速力の補正手段をもつもの
,G01C  19/56,・,振動状態の質量体を用いる回転感知装置，例．コリオリ力に基づく振動型角速度センサ［１，２０１２．０１］
,G01C  19/5607,・・,振動状態の音叉を用いるもの（平面状の複数の振動質量体を両側で支持した両終端音叉を用いるものはＧ０１Ｃ１９／５７１９）［２０１２．０１］
,G01C  19/5614,・・・,信号処理［２０１２．０１］
,G01C  19/5621,・・・,マイクロメカニカル構造を含む装置［２０１２．０１］
,G01C  19/5628,・・・,製造；トリミング；据え付け；ハウジング［２０１２．０１］
,G01C  19/5635,・・,振動状態のワイヤーまたは弦を用いるもの［２０１２．０１］
,G01C  19/5642,・・,振動状態の棒状体または梁を用いるもの［２０１２．０１］
,G01C  19/5649,・・・,信号処理［２０１２．０１］
,G01C  19/5656,・・・,マイクロメカニカル構造を含む装置［２０１２．０１］
,G01C  19/5663,・・・,製造；トリミング；据え付け；ハウジング［２０１２．０１］
,G01C  19/567,・・,振動の節または波腹の位相シフトを用いるもの［２０１２．０１］
,G01C  19/5677,・・・,本質的に２次元振動する振動体，例．環状に形成された振動体，に関するもの［２０１２．０１］
,G01C  19/5684,・・・・,マイクロメカニカル構造を含む装置［２０１２．０１］
,G01C  19/5691,・・・,本質的に３次元振動する振動体，例．ワイングラス型振動体，に関するもの［２０１２．０１］
,G01C  19/5698,・・,音響波を用いるもの，例．弾性表面波ジャイロ［２０１２．０１］
,G01C  19/5705,・・,駆動軸回りに往復回転する運動状態に駆動される質量体を用いるもの［２０１２．０１］
,G01C  19/5712,・・・,マイクロメカニカル構造を含む装置［２０１２．０１］
