インデキシングフラグ,記号,ドット,タイトル
,A01B   3/54,・・・,転換できないもの
,A01B   3/56,・・・,転換プラウ
,A01B   3/58,・・,二つの車輪を有するもの
,A01B   3/60,・・・,転換プラウ
,A01B   3/62,・・・・,平衡プラウ
,A01B   3/64,・,ケーブル式プラウ；ケーブル式プラウ機構のための指示または信号装置
,A01B   3/66,・・,原動機により駆動される巻取り装置を装着しているプラウを有するもの
,A01B   3/68,・・,ケーブル機構で一つまたは二つのエンジンを有するもの
,A01B   3/70,・・・,登坂のための一つのエンジンを有する機構
,A01B   3/72,・・,ケーブル固定手段
,A01B   3/74,・,プラウを推進させるための電気力の使用（集電器Ｂ６０Ｌ５／００）
,A01B   5/00,,駆動されない回転具を有するプラウ，例．ディスクプラウ（駆動回転具を有するものＡ０１Ｂ９／００）
,A01B   5/02,・,動物により牽引されるもの
,A01B   5/04,・,トラクタにより牽引されるもの
,A01B   5/06,・・,転換できないもの
,A01B   5/08,・・,転換プラウ
,A01B   5/10,・,トラクタに装着または一部装着されたもの
,A01B   5/12,・・,転換できないもの
,A01B   5/14,・・,転換プラウ
,A01B   5/16,・,自身が駆動されるディスクまたは類似のプラウ
,A01B   7/00,,プラウ，ハローまたは同様のものとして使用できるディスク状の土作業具
,A01B   9/00,,駆動回転具を有するプラウ（駆動回転具を有する耕うん用作業機Ａ０１Ｂ３３／００）
,A01B  11/00,,振動，掘取または穴ぬきの器具を有するプラウ
,A01B  13/00,,特別目的のためのプラウまたは類似の機械（排水のためのものＥ０２Ｂ１１／０２）
,A01B  13/02,・,畝を作るためのもの，例．対称的に配列されたはつ土板によるもの
,A01B  13/04,・,ブドウ園，果樹園などの作業のためのもの
,A01B  13/06,・・,ブドウまたは類似のものの損傷を防ぐための装置
,A01B  13/08,・,心土作業のためのもの
,A01B  13/10,・・,心土層を持ち上げるための特殊作業機
,A01B  13/12,・・・,表層に心土を配分する手段
,A01B  13/14,・,二つまたはそれ以上の層における土作業のためのもの
,A01B  13/16,・,侵蝕作用を防ぐための機械，例．基礎を掘るもの，溝をせき止めるためのもの
,A01B  15/00,,プラウの機素，器具，または細部
,A01B  15/02,・,プラウの刃；刃を固定すること
,A01B  15/04,・・,刃
,A01B  15/06,・・・,交換または調整できる刃
,A01B  15/08,・・,はつ土板
,A01B  15/10,・・・,交換または調整できるはつ土板
,A01B  15/12,・,ビーム；ハンドル（器具またはそれらへの装着物のハンドル一般Ｂ２５Ｇ）
,A01B  15/14,・,フレーム（運搬を容易にするための手段または装置Ａ０１Ｂ７３／００）［４］
,A01B  15/16,・,ディスク（そのためのベアリングＡ０１Ｂ７１／０４）；ディスクを清掃するためのスクレーパー；研磨のための付属物（研磨一般Ｂ２４）
,A01B  15/18,・,コールター
,A01B  15/20,・,トラクタに載架または牽引される傾斜地用プラウのための器具装置の特殊装置
,A01B  17/00,,特殊な付加装置を有するプラウ，例．土中施肥装置，土塊圧砕器（Ａ０１Ｂ４９／００が優先；心土プラウＡ０１Ｂ１３／０８）［２］
,,,ハロー
,A01B  19/00,,回転具を有しないハロー
,A01B  19/02,・,機枠に固定的にまたは弾力的に装着する器具を有するもの
,A01B  19/04,・・,二つ以上の機枠を有するもの
,A01B  19/06,・・,器具または機枠を機械的に移動できるもの
,A01B  19/08,・,歯のような器具を支持するためのリンク機構を有するもの
,A01B  19/10,・,昇降または清掃装置
,A01B  21/00,,駆動されない回転具を有するハロー（駆動される回転具を有する耕うん用作業機Ａ０１Ｂ３３／００）
,A01B  21/02,・,歯のような器具を有するもの
,A01B  21/04,・・,水平軸上のもの
,A01B  21/06,・・,垂直軸上のもの
,A01B  21/08,・,ディスクのような器具を有するもの
,A01B  23/00,,ハローの機素，器具，または細部
,A01B  23/02,・,歯；歯を固定すること
,A01B  23/04,・,フレーム（運搬を容易にするための手段または装置Ａ０１Ｂ７３／００）；牽引装置［４］
,A01B  23/06,・,ディスク（Ａ０１Ｂ１５／１６が優先；そのためのベアリング軸受Ａ０１Ｂ７１／０４）；ディスク清掃用スクレーパー；研磨装置（研磨一般Ｂ２４）［２］
,A01B  25/00,,特殊な付加装置を有するハロー，例．肥料散布のためのもの；特殊目的のハロー（Ａ０１Ｂ３９／００が優先）
,,,土作業のための他の機械
,A01B  27/00,,砕土機
,A01B  29/00,,ローラー
,A01B  29/02,・,滑らかな表面を有するもの
,A01B  29/04,・,リングまたはディスクを回転できるように装着させて形成した滑らかな長面を有するものまたは回転体に突出部またはリブを有するもの；ランドパッカー
,A01B  29/06,・,特殊な付加装置を有するもの
,A01B  31/00,,まぐわ
,A01B  33/00,,駆動回転具を有する耕うん用作業機
,A01B  33/02,・,進行方向と直角をなす水平軸上に用具を有するもの
,A01B  33/04,・,進行方向と平行な水平軸上に用具を有するもの
,A01B  33/06,・,垂直またはそれに近い軸上に用具を有するもの
,A01B  33/08,・,器具；細部，例．変速機構または伝動機構
,A01B  33/10,・・,器具の構造的または機能的特徴
,A01B  33/12,・・,器具の組み合わせ；器具のカバー
,A01B  33/14,・・,器具の回転軸への取り付け，例．弾性的に取りつけられた器具
,A01B  33/16,・,特殊な付加装置を有するもの（Ａ０１Ｂ４９／００が優先；播種または肥料散布のためのものＡ０１Ｂ４９／０６）［２］
,A01B  35/00,,土作業のための他の機械（Ａ０１Ｂ３７／００，Ａ０１Ｂ３９／００，Ａ０１Ｂ７７／００が優先）
,A01B  35/02,・,非回転具を有するもの
,A01B  35/04,・・,役畜またはトラクタに牽引されるもの
,A01B  35/06,・・・,弾性器具を有するもの
,A01B  35/08,・・・,剛性器具を有するもの
,A01B  35/10,・・,トラクタに載架されたもの
,A01B  35/12,・・・,弾性器具を有するもの
,A01B  35/14,・・・,剛性器具を有するもの
,A01B  35/16,・,駆動されない回転または回転する器具を有するもの
,A01B  35/18,・,回転および非回転の器具を有するもの
,A01B  35/20,・,器具；細部
,A01B  35/22,・・,非回転器具；載架された非回転具
,A01B  35/24,・・・,弾性器具
,A01B  35/26,・・・,剛性器具
,A01B  35/28,・・,回転器具；載架された回転器具
,A01B  35/30,・・,車台（Ａ０１Ｂ２３／０４が優先）［２］
,A01B  35/32,・,特殊な付加装置を有するもの
,A01B  37/00,,車輪またはこれに類似のものによって踏み固められた土壌を膨軟にするための装置
,A01B  39/00,,特に作物が生育中の耕土の作業に適した他の機械
,A01B  39/02,・,回転しない道具によるもの
,A01B  39/04,・・,役畜またはトラックによって牽引されるもの
,A01B  39/06,・・,自走機械
,A01B  39/08,・,回転器具によるもの
,A01B  39/10,・,振動器具によるもの
,A01B  39/12,・,特殊な目的のためのもの
,A01B  39/14,・・,畦立のためのもの
,A01B  39/16,・・,ぶどう畑，果樹園，またはこれに類似する作業に用いるためのもの
,A01B  39/18,・・,除草のためのもの
,A01B  39/19,・・・,棒軸除草機，すなわち，土壌表面下を推進される回転軸を有する除草機
,A01B  39/20,・,器具；細部
,A01B  39/22,・・,器具；装着用道具
,A01B  39/24,・・,車台（Ａ０１Ｂ２３／０４が優先）［２］
,A01B  39/26,・・,作物保護のための装置
,A01B  39/28,・,特殊な付加的装置によるもの（Ａ０１Ｂ４９／００が優先）［２］
,A01B  41/00,,間引き機
,A01B  41/02,・,振動器具によるもの
,A01B  41/04,・,回転器具によるもの
,A01B  41/06,・,電気によるもの，例．間引き運転の光電子制御
,A01B  43/00,,土壌から石や望ましくない根等を取り除いて集める機械，例．トラクタで牽引するレーキ［４］
,A01B  45/00,,牧草または芝を手入れするための機械
,A01B  45/02,・,通気するためのもの
,A01B  47/00,,器具と土壌間を電位差を利用した土作業
,A01B  49/00,,複合機械（異なった種類の機械に装着された補助装置，例．プラウにとりつけられたハロー，はその機械に関連するグループ参照）
,A01B  49/02,・,別種の２またはそれ以上の耕耘具によるもの
,A01B  49/04,・,耕耘具と非耕耘具，例．植付け具，との複合機械
,A01B  49/06,・・,播種または施肥のためのもの
,,,農業機械または器具の部品，細部または付属装置一般［３］
,A01B  51/00,,各種農具または装置を塔載するために特に適合した車台（一般的な車両の特徴はクラスＢ６０またはＢ６２の関連するサブクラス参照）
,A01B  51/02,・,原動機によって推進されるもの
,A01B  51/04,・,動物またはトラクタによって牽引されるもの
,A01B  59/00,,役畜またはトラクタと農業機械または器具とを連結するのに特に適合した装置（Ａ０１Ｂ６３／００が優先；車両連結器一般Ｂ６０Ｄ；畜力牽引車両のための牽引装置一般Ｂ６２Ｃ５／００）［３］
,A01B  59/02,・,動物による牽引機械のためのもの
,A01B  59/04,・,トラクタによって牽引されたり押されたりする機械のためのもの
,A01B  59/041,・・,作業機の側方遊びの防止または制限（過負荷防止Ａ０１Ｂ６１／００）［２］
,A01B  59/042,・・,トラクタの後部に装着された牽引手段をもつもの
,A01B  59/043,・・・,３点で支持したもの，例．急速開放継ぎ手によるもの（Ａ０１Ｂ５９／０６が優先）
,A01B  59/044,・・,トラクタの中央部に装着される牽引手段をもつもの
,A01B  59/046,・・,トラクタの側面に装着された牽引または押圧手段をもつもの
,A01B  59/048,・・,トラクタの前部に装着された牽引または押圧手段をもつもの
,A01B  59/06,・,トラクタに装着した機械のためのもの
,A01B  61/00,,農業機械または器具の過負荷を防止するための装置，またはその部品（車両連結器過負荷防止一般Ｂ６０Ｄ；継手の過負荷防止それ自体Ｆ１６Ｄ）［３］
,A01B  61/02,・,トラクタと機械の間の連結装置に関するもの
,A01B  61/04,・,道具と搬送桿または機枠との間の連結に関するもの
,A01B  63/00,,農業機械または器具を昇降する，あるいは位置を調整する装置またはそのための配置（モーアのカッターバーの昇降調整Ａ０１Ｄ３４／２４；モーアのカッターバーの位置調整装置Ａ０１Ｄ３４／２８；昇降装置の構造的特徴それ自体Ｂ６６Ｆ）［３］
,A01B  63/02,・,トラクタに装着された作業機のためのもの
,A01B  63/04,・・,手動装置；機械的蓄積力，例．バネ，を有する手動装置
,A01B  63/06,・・,トラクタ原動機によって機械的に操作されるもの
,A01B  63/08,・・,トラクタの動作によって操作されるもの
,A01B  63/10,・・,水圧あるいは気圧によって操作されるもの
,A01B  63/102,・・・,トラクタへの装着位置，例．後部，によって特徴づけられるもの
,A01B  63/104,・・・・,中央部，すなわち，前輪と後輪の中間，に装着されるもの
,A01B  63/106,・・・・,側面に装着されるもの
,A01B  63/108,・・・・,前面に装着されるもの
,A01B  63/11,・・・,作業機とトラクタ車輪との間の重量移動を制御するためのもの［２］
,A01B  63/111,・・・,作業機の作業深さの調整
,A01B  63/112,・・・・,牽引力，すなわちトラクタの力を調節するもの［２］
,A01B  63/114,・・・・,定められた作業深さを保つもの［２］
,A01B  63/118,・・・,動力つり上げリンクへの作業機の装着（Ａ０１Ｂ５９／０４３が優先；作業機の側方遊びの防止または制限Ａ０１Ｂ５９／０４１；過負荷の防止Ａ０１Ｂ６１／００）［２］
,A01B  63/12,・・,電動機によって操作されるもの
,A01B  63/14,・,動物またはトラクタによって牽引される作業機のためのもの
,A01B  63/16,・・,機枠に対して関連的に調整されうる車輪を有するもの
,A01B  63/18,・・・,Ｚ形車軸と車輪との間にクラッチを有するもの
,A01B  63/20,・・・,ギヤーおよびラックを有するもの
,A01B  63/22,・・・,水圧または気圧によって操作されるもの
,A01B  63/24,・・,機枠に対して関連的に調整しうる道具または道具装着具
,A01B  63/26,・・・,人力によるもの
,A01B  63/28,・・・,機械または作業機によって操作されるもの
,A01B  63/30,・・・,機械的伝達を通して原動機の力によって操作されるもの
,A01B  63/32,・・・,水圧または気圧によって操作されるもの
,A01B  67/00,,作業機の抵抗によるトラクタの原動機制御装置（過負荷防止Ａ０１Ｂ６１／００）
,A01B  69/00,,農業機械または器具の操向；要求された進路に沿っての，農業機械または器具の案内［３］
,A01B  69/02,・,マーカーまたはこれと類似の装置；正条うね用ワイヤ；そのための付属品
,A01B  69/04,・,自動トラクタ操縦の特殊な応用，例．うね立用電気システム
,A01B  69/06,・,付加的作業機による機械の水平操縦
,A01B  69/08,・,トラクタの水平動による機械の水平操縦
,A01B  71/00,,作業機の駆動または動力取り出しに関する機構を装着または調整するための構造または装置；塵埃またはその類似のものを防ぐ装置；農用目的の取付け部品
,A01B  71/02,・,装着または調整機構
,A01B  71/04,・,回転部分のベアリング，例．耕耘作業用ディスクのためのもの（ベアリング一般Ｆ１６Ｃ）
,A01B  71/06,・,作業機または機械への伝導軸と動力取り出し装置との間の継ぎ手方法の特殊なもの（回転伝達用継ぎ手Ｆ１６Ｄ）
,A01B  71/08,・,塵埃またはその類似のものを防ぐ方法または農作業機を清掃するためのもの（Ａ０１Ｂ１５／１６，Ａ０１Ｂ１９／１０，Ａ０１Ｂ２３／０６が優先；ロータリ耕耘部のカバーＡ０１Ｂ３３／１２；回転部分のカバー一般Ｆ１６Ｐ１／００）［２］
,A01B  73/00,,農業機械または作業機の運搬を容易にするための手段または装置，例．全幅を縮小するための折曲げ機枠（土作業機のための揚上装置の配置Ａ０１Ｂ６３／００；荷物運送に適した車両，または特殊荷物または特殊目的物を移送，運搬または搬入するのに適した車両Ｂ６０Ｐ；自動車，付随車Ｂ６２Ｄ）［４］
,A01B  73/02,・,折曲げ機枠［４］
,A01B  73/04,・・,水平軸の周りに折曲げ可能なもの［４］
,A01B  73/06,・・,垂直軸の周りに折曲げ可能なもの［４］
,A01B  75/00,,圃場作業時，例．ビートの間引中，作業者をのせる台
,,,＜見出し終了＞
,A01B  76/00,,グループＡ０１Ｂ５１／００～Ａ０１Ｂ７５／００に分類されない農業機械または器具の部品，細部または附属具［８］
,A01B  77/00,,土を持ち上げて処理を行う機械（殺生物剤，有害生物忌避剤，または誘引剤，植物生長調節剤Ａ０１Ｎ２５／００～Ａ０１Ｎ６５／００；肥料Ｃ０５；土壌調整用または土壌安定用物質Ｃ０９Ｋ１７／００）
,A01B  79/00,,土作業の方法（特別な機械の使用を必要とするもの，機械にとって適切なグループを参照）
,A01B  79/02,・,他の農作業過程，例．施肥，移植，と結合しているもの
,A01C,,植付け；播種；施肥（土壌の一般的土作業と結合したものＡ０１Ｂ４９／０４；農業機械または器具の部品，細部または付属具一般Ａ０１Ｂ５１／００～Ａ０１Ｂ７５／００）
,＜索引＞,,施肥
,,,方法　３／００，２１／００
,,,装置　３／００，１５／００，１７／００，１９／００，２３／００
,,,播種または植付前の作業　１／００
,,,植付け　９／００，１１／００，１３／００，１４／００
,,,播種　７／００，１７／００，１９／００
,,,共通装置　５／００
,A01C   1/00,,播種，または植付け前に種子，根，または類似のものを試験または処理する装置，または方法（そのための化学薬品Ａ０１Ｎ２５／００～Ａ０１Ｎ６５／００）
,A01C   1/02,・,発芽用装置；種子または類似のものの発芽の判定（麦芽を得るための発芽Ｃ１２Ｃ１／０２７）
,A01C   1/04,・,搬送体，例．テープ，紐，上への種子の整列
,A01C   1/06,・,種子のコーチングまたは被覆
,A01C   1/08,・,種子の消毒
,A01C   3/00,,堆厩肥の取り扱い；堆厩肥の散布（厩肥用フオークＡ０１Ｄ９／００；廃棄物またはじんかいからの有機質肥料Ｃ０５Ｆ）
,A01C   3/02,・,堆厩肥の貯蔵場，例．液状厩肥用溜；堆厩肥の発酵のための施設（下水処理用建造物Ｅ０３Ｆ５／００；サイロ，バンカーＥ０４Ｈ７／２２）
,A01C   3/04,・,堆厩肥積込機（積込機一般Ｂ６５Ｇ）
,A01C   3/06,・,堆厩肥散布機，例．ふん肥散布機
,A01C   3/08,・・,圃上に供給された堆厩肥のためのもの［２］
,A01C   5/00,,播種，植付け，または堆厩肥散布のための条溝または孔の形成または覆土（畝を作るためのプラウＡ０１Ｂ１３／０２）
,A01C   5/02,・,播種，植付け，または堆肥散布のための孔を形成する手作業具（樹木の移植装置Ａ０１Ｇ２３／０２）
,A01C   5/04,・,播種または植付けのための孔を形成しまたは覆土する機械
,A01C   5/06,・,播種または植付けのための条溝を形成しまたは覆土する機械
,A01C   5/08,・,堆厩肥散布と播種または堆厩肥散布と植付けを同時に行なう機械
,A01C   7/00,,播種（播種部の駆動装置Ａ０１Ｃ１９／００）
,A01C   7/02,・,手播器具
,A01C   7/04,・,吸引装置を有するまたは有しない一粒播種機
,A01C   7/06,・,施肥装置と結合した播種機（耕耘具と結合したものＡ０１Ｂ４９／０４）
,A01C   7/08,・,散播機；条播機
,A01C   7/10,・・,種子槽調整装置
,A01C   7/12,・・,供給輪体を有する播種機
,A01C   7/14,・・・,スプーン状またはバケット状の輪体を有する播種機
,A01C   7/16,・・,他の散布具，例．ブラシ，円板体，スクリュー，しゅう動板，を有する播種機（無端チェーンを有するものＡ０１Ｃ１５／１８）
,A01C   7/18,・,一定間隔で一定量の種子を播き付けていく機械
,A01C   7/20,・,種子の誘導および播き付けのための播種機の部品
,A01C   9/00,,ばれいしよ播種機（耕耘具と結合したものＡ０１Ｂ４９／０４）
,A01C   9/02,・,コンベアーベルトを有するもの
,A01C   9/04,・,バケット輪体を有するもの
,A01C   9/06,・,刺貫または挾持装置を有するもの
,A01C   9/08,・,他の散布装置，例．はねぶた，スクリュー，水平回転板，を有するもの
,A01C  11/00,,移植機械（人を乗せる台Ａ０１Ｂ７５／００；樹木の移植装置Ａ０１Ｇ２３／０２）
,A01C  11/02,・,苗用のもの
,A01C  11/04,・,植物をより深く植えたりまたは移し変えたりするもの
,A01C  13/00,,植物の周囲の土壌を鎮圧する機械または装置
,A01C  14/00,,このサブクラスの他のグループに分類されない植付けするための方法または装置［８］
,A01C  15/00,,肥料散布機（Ａ０１Ｃ７／０６が優先；遠心力利用円盤を有するものＡ０１Ｃ１７／００；散布部の駆動装置Ａ０１Ｃ１９／００；道路用の砂，砂利または塩の散布機Ｅ０１Ｃ１９／２０）［２］
,A01C  15/02,・,手にもって使うためのもの
,A01C  15/04,・,送風機を使用するもの
,A01C  15/06,・,散布用スロットを有するもの
,A01C  15/08,・・,スロット内に押出具または攪拌具を有するもの
,A01C  15/10,・・・,往復動する押出具を有するもの
,A01C  15/12,・,貯納容器に可動部分を有するもの
,A01C  15/14,・,肥料を持ち上げる手段を有するもの
,A01C  15/16,・,肥料を押し出す手段，例．ローラーによる，を有するもの
,A01C  15/18,・,無端チェーンを有するもの
,A01C  17/00,,遠心力利用円盤を有する施肥機または播種機（物品またはばら状固体物質の機械的投入機一般Ｂ６５Ｇ３１／００；砂，砂利または塩の散布機Ｅ０１Ｃ１９／２０）［３］
,A01C  19/00,,肥料散布機の散布部または播種機の播種部の駆動装置［４］
,A01C  19/02,・,モーターによるもの［４］
,A01C  19/04,・,接地輪によるもの［４］
,A01C  21/00,,施肥方法（肥料Ｃ０５；土壌調整用または土壌安定用物質Ｃ０９Ｋ１７／００）
,A01C  23/00,,液状厩肥またはアンモニアを含む他の液体肥料に特に適合した散布装置，例．運搬用タンク，液肥散布車（圃場給水一般Ａ０１Ｇ２５／００；液体または流体の散布，供給一般Ｂ０５）
,A01C  23/02,・,土壌中に直接液体を注入する特殊の装置
,A01C  23/04,・,圧力散布；泥水散布；液体肥料散布のための給水装置
,A01D,,収穫；草刈り
,＜注＞,,このサブクラスは，例えばマルチ（ｍｕｌｃｈ）を敷設するための，刈り株の細砕または粉砕を包含するが，その他の不要植物の機械的駆除は包含しない。それはＡ０１Ｍ２１／０２グループに包含される。［７］
,＜索引＞,,手作業用具
,,,刈取具，レイキ，フォーク，その他　１／００，７／００，９／００，１１／００
,,,付属装置　３／００，５／００
,,,根菜作物収穫機
,,,掘取機　１３／００～１９／００，２７／００
,,,冠根部の切断　２３／００，２７／００
,,,特定の産物用　１３／００，２１／００，２５／００，２９／００
,,,その他の機械　３１／００
,,,付属装置　３３／００
,,,穀類または牧草の収穫または刈取り
,,,収穫機または刈取機　３４／００，３７／００，４１／００，４２／００，４３／００
,,,結束機　３７／００，３９／００
,,,穂刈機　４７／００
,,,特定の産物用　４４／００，４５／００
,,,構成部分　５７／００～６９／００
,,,付属装置　７５／００，８５／００
,,,牧草調製機　７６／００～８４／００
,,,その他の作物の収穫機
,,,水中植物　４４／００
,,,栽培中の作物　４５／００
,,,果物，野菜，その他の摘取りまたは収納　４６／００，５１／００
,,,集納，積込み，移送　５１／００，８５／００～９０／００
,,,一般的方法　９１／００
,,,手作業用具
,A01D   1/00,,収穫のための手作業による刈取具（リンゴまたは類似の果実を摘み取る装置Ａ０１Ｄ４６／２４；生垣刈り込み用具Ａ０１Ｇ３／０４）
,A01D   1/02,・,大鎌
,A01D   1/04,・,小鎌
,A01D   1/06,・,ナイフ
,A01D   1/08,・,刃の取付け手段
,A01D   1/10,・・,偏心レバーによる締付け具を有するもの
,A01D   1/12,・・,種々の方法により調節可能な刃を有するもの
,A01D   1/14,・,握持部；補助具，例．大鎌用かご，安全装置
,A01D   3/00,,大鎌，小鎌，または類似のものの研磨剤を使用しない研磨装置
,A01D   3/02,・,衝撃具を有するもの
,A01D   3/04,・,圧接用顎部を有するもの
,A01D   3/06,・,圧接用ローラーまたは圧接用円板を有するもの
,A01D   3/08,・,細部，例．大鎌の金床，大鎌の案内片
,A01D   5/00,,収穫作業中に使用する砥石の容器
,A01D   7/00,,レーキ（レーキに変換できる，またはレーキ作業ができる刈取機Ａ０１Ｄ４２／０２；レーキと結合した刈取機Ａ０１Ｄ４３／０２）
,A01D   7/02,・,レイキの横支軸に固着された歯杆を有するもの
,A01D   7/04,・,調節可能な横支軸を有するもの
,A01D   7/06,・,特殊な形状をした，または特殊な接合をした歯杆を有するもの
,A01D   7/08,・,交換可能な歯杆を有するもの
,A01D   7/10,・,からみ付き防止装置，挾み具または類似のものと組合さったもの
,A01D   9/00,,フォーク
,A01D   9/02,・,握持部に固着された歯杆を有するもの
,A01D   9/04,・,交換可能な歯杆を有するもの
,A01D   9/06,・,からみつき防止装置，挾み具または類似のものと組合さったもの
,A01D  11/00,,他の手作業用具（りんごまたは類似の果実を摘み取る装置Ａ０１Ｄ４６／２４）
,A01D  11/02,・,ビート，ばれいしょ，または他の根菜作物を掘り上げまたは収穫するもの
,A01D  11/04,・,根菜作物の処理具，例．ショベル，フォーク状のショベル
,A01D  11/06,・,組合された作業具，例．フォークとレイキ
,,,根菜作物の収穫機械
,A01D  13/00,,掘取機（Ｄｉｇｇｅｒｓ），例．ポテトプラウ
,A01D  15/00,,篩（ふる）い分け装置を有するが搬送装置を有しない掘取機（Ｄｉｇｇｉｎｇ　ｍａｃｈｉｎｅｓ）
,A01D  15/02,・,固定した篩を有するもの
,A01D  15/04,・,可動または揺動する篩を有するもの
,A01D  17/00,,篩い分けおよび搬送装置を有する掘取機（Ｄｉｇｇｉｎｇ　ｍａｃｈｉｎｅｓ）
,A01D  17/02,・,篩い分け装置の上方に搬送装置を有するもの
,A01D  17/04,・,篩い分け装置の下方に搬送装置を有するもの
,A01D  17/06,・,ローラー形または円盤形の篩を有するもの
,A01D  17/08,・,振動する篩を有するもの
,A01D  17/10,・,平滑なコンベヤベルト，ラスバンド，またはレーキバンドを有するもの
,A01D  17/12,・,バケット状のコンベヤを有するもの
,A01D  17/14,・,筒状の篩を有するもの
,A01D  17/16,・・,螺旋状のコンベアを有するもの
,A01D  17/18,・・,螺旋状のコンベヤを有さないもの
,A01D  17/20,・・,数種の連動するふるいベルトを有するもの
,A01D  17/22,・・,数種の連動する篩を有するもの
,A01D  19/00,,遠心力利用円盤，ドラム，またはスピンナーを有する掘取機（Ｄｉｇｇｉｎｇ　ｍａｃｈｉｎｅｓ）
,A01D  19/02,・,進行方向に直角に設けられた水平軸の回りを回動する作業具を有するもの
,A01D  19/04,・,進行方向に平行に設けられた水平軸の回りを回動する作業具を有するもの
,A01D  19/06,・・,すくい上げ輪またはドラムを有するもの
,A01D  19/08,・・,すくい上げ歯杆付チェーンを有するもの
,A01D  19/10,・・,受け用篩いを有するもの；根菜作物の集納装置
,A01D  19/12,・,ほぼ垂直な軸に枢着された作業具を有するもの
,A01D  19/14,・・,一個の篩い分け用輪体を有するもの
,A01D  19/16,・・,数個の篩い分け用輪体を有するもの
,A01D  19/18,・・,篩い分け用歯杆を有するもの
,A01D  21/00,,ばれいしょ拾い上げ具を有する掘取機（Ｄｉｇｇｉｎｇ　ｍａｃｈｉｎｅｓ）
,A01D  21/02,・,上下動する拾い上げ具を有するもの
,A01D  21/04,・,回転する拾い上げ具を有するもの
,A01D  23/00,,冠根部切断機
,A01D  23/02,・,掘り上げる前に冠根部を切断するもの
,A01D  23/04,・,掘り上げた後に冠根部を切断するもの
